cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
M11.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.565404723622603,-2.9852118074857485,B002765
M11.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,26.02086417165716,-6.883054964792649,B002769
M12.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,25.892997587236017,-6.845961546122062,B002765
M12.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,25.453486316110236,-4.80289384629694,B002769
M12.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,28.343068517597107,-0.3391752456765615,D042186
M13.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,24.332519290868223,-5.776931325047597,B002765
M13.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.56328267830639,-2.640791838873215,D042186
M14.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,27.876252851389438,-9.289387051659256,B002769
M14.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.855032300898685,-5.210078763460424,D042186
M15.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,22.700940738385487,-4.3701418415192,B002765
M15.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,22.818118964104052,-4.050024535122708,B002769
M15.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,29.084028554302026,-9.263967046069483,D042185
M15.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,30.087422132291653,-0.16097716580157312,D042186
M16.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,21.486458979470502,-2.795046891396369,B002765
M16.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,26.175870386183696,-6.127642931894652,B002769
M16.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,29.372301905801375,-5.42165111316813,D042185
M17.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,26.83361501444493,-6.457009677908891,B002769
M17.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,27.95702490770693,-0.6920297711244161,D042185
M17.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,28.012703320300712,-4.128688485221346,D042186
M18.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,18.494496422613206,-9.633908727576108,B002765
M19.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,19.360912861224424,-4.313900094740702,B002765
M19.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,21.373485884528314,-2.94759063435725,B002769
M19.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,28.312260832918643,-0.24675901954434573,D042186
M19.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_10_M,30.913265210283193,-1.4906833409410791,D042473
M2.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,27.291038660252273,-2.335609116388785,B002765
M2.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_11_M,26.53542283591844,-8.739807719171287,D042103
M2.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,28.753262027514126,-7.817539233481468,D042186
M20.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.380006809967796,-3.6412287643173618,B002765
M20.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,26.764011212568672,-2.965814582441861,B002769
M20.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,28.340182092314834,-4.08686617390083,D042186
M21.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.438255309885815,-5.261813468038519,B002765
M21.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,28.329251493499022,-9.742778801501318,B002769
M21.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,1,M,3_10_M,17.735386074822635,-10.60401146057105,D042473
M22.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,26.280239714011657,-6.980248932602249,B002765
M22.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_39_F,27.67893429786091,-9.557436663670927,B002769
M22.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,29.650688897839853,-4.176649682400935,D042185
M22.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.657367943536638,0.19201859089703366,D042186
M3.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,21.726309423120856,-2.2890316333421654,B002765
M3.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_11_M,24.90092449037099,-6.650324030232134,D042103
M3.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.24092787383656,-8.568567826147168,D042186
M4.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,25.146420347787345,-4.813146889980405,B002765
M4.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_11_M,25.721750310231872,-3.7406972798169837,D042103
M4.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,30.982040297139573,-2.5086815968616447,D042186
M5.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.663540727466962,-1.5462264304150248,B002765
M5.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_11_M,25.0714333465036,-3.807111707197864,D042103
M5.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.71412472847284,-9.119278302855944,D042186
M6.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,30.412506425218226,-0.042776465978912534,D042185
M6.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.158224060816273,0.053583501056804844,D042186
M7.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,27.186794309844885,-9.249942141532955,B002765
M7.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,20.991842351081434,-2.560295091578787,D042186
M8.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.840197130653607,-1.9917097919031526,B002765
M8.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,29.56646304597448,0.4860389462248392,D042186
M9.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.388962298646423,-5.6845353199312125,B002765
M9.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,26.323525465283723,-6.748775458117809,D042185
N1.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,26.22608277505528,-8.325570510141374,B002765
N1.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_11_M,22.127460637536135,-3.7898916495159676,D042103
N1.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_9_M,27.94963737479071,-2.974081351928248,D042185
N1.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_8_M,30.79404092020633,-1.1386219816370953,D042186
N1.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,M,3_10_M,28.228769559759364,-9.574941342754045,D042473
N10.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,endothelial cell,CL:0000115,endothelial cell,3,F,3_38_F,23.650816840986625,-3.1608508715445764,B002765
