cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A16.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_10_M,-14.194390159239115,-14.546762214818704,MAA000560,FALSE,NA
A16.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_10_M,34.496523554020555,0.9557989451212152,MAA000561,FALSE,NA
A16.MAA000564.3_10_M.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte precursor cell,CL:0002453,NA,4,M,3_10_M,14.530480257896444,-21.40058668656917,MAA000564,FALSE,NA
A16.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,1,M,3_10_M,-21.11604837986585,17.791923499245403,MAA000581,FALSE,NA
A16.MAA000641.3_9_M.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,2.8573096853449744,0.8077484649470997,MAA000641,FALSE,NA
A16.MAA000902.3_11_M.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte,CL:0000128,NA,7,M,3_11_M,7.801824151813928,-3.2799918325741744,MAA000902,FALSE,NA
A16.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_8_M,20.248161503136554,17.364880773908588,MAA000930,TRUE,3
A16.MAA000932.3_11_M.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,5,M,3_11_M,-11.122317295069182,30.01532797713217,MAA000932,FALSE,NA
A16.MAA000935.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,M,3_8_M,6.399597272770541,1.752964562193091,MAA000935,FALSE,NA
A16.MAA000941.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_8_M,18.48195207694103,-6.065249954449809,MAA000941,FALSE,NA
A16.MAA000942.3_8_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,M,3_8_M,40.837965175029574,3.150777090069566,MAA000942,FALSE,NA
A16.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_9_M,35.63491242374483,1.5084360669270103,MAA000944,FALSE,NA
