cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids
O2.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
O2.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,monocyte,CL:0000576,NA,7,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2
O2.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O2.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,B cell,CL:0000236,Cd3e+_Klrb1+ B cell,11,M,3_10_M,TRUE,3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O2.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
O2.MAA001842.3_38_F.1.1,Marrow,T-cells,Multiple,MAA001842,immature B cell,CL:0000816,NA,6,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O2.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O2.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,F,3_39_F,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA,FALSE,NA
O2.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O2.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,naive B cell,CL:0000788,NA,1,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O2.MAA001888.3_39_F.1.1,Marrow,T-cells,Multiple,MAA001888,regulatory T cell,CL:0000815,regulatory T cell,11,F,3_39_F,TRUE,1,TRUE,3,FALSE,NA,FALSE,NA,FALSE,NA
O20.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,immature B cell,CL:0000816,NA,6,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.D042467.3_9_M.1.1,Marrow,T-cells,Multiple,D042467,B cell,CL:0000236,Cd3e+_Klrb1+ B cell,11,M,3_9_M,TRUE,3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.D045139.3_39_F.1.1,Marrow,Granulocytes,Multiple,D045139,monocyte,CL:0000576,NA,7,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1
O20.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte,CL:0000094,NA,3,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
O20.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,common lymphoid progenitor,CL:0000051,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
O20.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,3,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
O20.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
