"","plate.barcode","cell_ontology_class","cell_ontology_class.subcell_ontology_class"
"B8.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"B12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"E5.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"B13.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"E14.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"B15.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"E16.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"E17.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"B18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"E19.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"B20.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"E21.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"C1.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"F3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C5.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F4.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"C7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F5.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A1.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C12.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"F9.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A2.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"C18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A5.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"C19.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"I7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"L7.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"O5.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"I9.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"L8.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"L12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"O11.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"I11.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"G4.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"I12.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"L13.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"O12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"G7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"I16.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"L14.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"O15.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"L16.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"O18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"I19.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"I20.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M1.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"G13.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"G17.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"J1.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"M2.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"G18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M4.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"G20.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"G22.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"J3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"M7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P6.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J6.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M14.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P9.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"J10.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"M18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P11.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"N1.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P12.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"H7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J13.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P13.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H15.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"J16.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P16.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"H16.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"N6.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P17.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"K2.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"N9.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"P18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H17.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"H18.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"K7.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"N17.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"H20.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"K9.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"N18.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"K11.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"O1.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K16.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"O2.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"I3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"L1.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"O3.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"I6.B002780.3_38_F.1.1","B002780","CL:0000312","CL:0000312: differentiated keratinocyte"
"L6.B002780.3_38_F.1.1","B002780","CL:0002187","CL:0002187: basal cell of epidermis"
"A15.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"B19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"E1.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"F4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"I12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B20.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"C22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H11.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"I13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"J14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"L20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"O4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"D1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F6.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"G9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H12.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"I14.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"J16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"K19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"L21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"N2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O6.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"P9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"A17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"G10.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"H13.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"I15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L22.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"N3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"O7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P10.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"A19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D2.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"E5.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"F7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P11.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"A20.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"C2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"H15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I17.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"F8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"M1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J20.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"C3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D5.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"E8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F10.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"G14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"J21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M3.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"K22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"O10.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"P13.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"M2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"H17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J22.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"L2.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"M4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P14.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D6.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"E9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"B4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"D8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E11.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"F13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F14.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"G17.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"H19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"G16.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"H18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I20.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"K1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"M5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B5.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"C7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D9.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"E12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I22.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K3.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"K2.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"L5.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"M7.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"L4.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"M6.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"N9.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"O13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P16.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"O14.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"G19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H21.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"J1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K4.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"L6.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M8.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"N11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"P18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"P17.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"B7.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"C9.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B6.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"C8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"E13.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F16.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"D11.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"N12.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"O16.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"P19.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"A1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"B8.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"C10.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"D12.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"E15.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"F18.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E14.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"G21.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"I1.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"J3.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
"F17.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"G20.D041894.3_9_M.1.1","D041894","CL:0002187","CL:0002187: basal cell of epidermis"
"H22.D041894.3_9_M.1.1","D041894","CL:0000312","CL:0000312: differentiated keratinocyte"
