"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"I22.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-13.4273919934312,18.5672220282349
"A7.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-12.8760468261363,-3.51039338370101
"B13.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-9.26063697445517,32.5986177627556
"C18.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-9.48901669604954,33.0515208323462
"D22.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-9.36195795929618,-1.84599498316294
"F5.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-13.799829471854,-5.94026888035321
"G9.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.77225173944736,3.65185736004691
"H17.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.04270580541616,0.131481346598308
"J1.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.7583256402058,21.0408931713993
"K3.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.35494526883219,36.1514029475289
"K2.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-16.6883212489101,22.4152606967216
"L6.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.6306874829784,32.6750290404923
"L5.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-17.4336931596395,24.4341190960771
"M10.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.83104289427275,26.2878735614094
"N16.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.66643603159728,32.6097940351741
"M11.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-21.1869540104697,23.2392648738364
"E1.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-7.2358598259093,27.5568808821657
"F6.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-12.6197934642111,15.8236992123669
"G10.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.7573960343528,13.1784698718285
"H19.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.2325835190953,13.5528565372272
"J2.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.8285419140629,1.41248140256101
"K4.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.92897962003246,32.2985851548225
"L7.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-5.21250527661325,10.9835036465933
"M12.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.8872903705962,27.2844888129031
"N18.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-18.4839641837815,22.257702485882
"P3.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.09736429588042,23.4801240414759
"N17.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.48519551435245,12.0039204967652
"P2.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-16.9919954677531,22.8306438468674
"A8.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.86916963252241,0.0598042300336463
"B14.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.86328997036187,2.89875640918619
"C19.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.12013827484854,26.6080208992378
"A9.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-4.66725829920243,32.2424984611204
"L8.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-7.37236546410255,8.33288830456657
"M13.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-2.74617938516976,31.2838283732969
"N19.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-14.545642437441,19.0467907625377
"P4.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-9.73285998452157,32.7821053971951
"A10.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.72725965753081,33.3601599245431
"B16.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.85969994005748,35.6416097350801
"B15.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-11.3942047077299,11.0071005049507
"C21.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-8.14509146351308,32.3534687081348
"E3.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.02081290483218,25.4287186600176
