cell.type,ppv,recall,TF_1,TF_2,TF_3,TF_4,score
Marrow__common.lymphoid.progenitor,0.313829787234043,0.983333333333333,Hmgb2,Lyl1,Sox4,Nucks1,1.29716312056738
Marrow__common.lymphoid.progenitor,0.145985401459854,1,Hmgb2,Sox4,Nucks1,Hnrnpk,1.14598540145985
Marrow__common.lymphoid.progenitor,0.297979797979798,0.983333333333333,Lyl1,Sox4,Nucks1,Hnrnpk,1.28131313131313
Marrow__megakaryocyte.erythroid.progenitor.cell,0.0263029712615684,0.981818181818182,Hdgf,Hnrnpab,Pcbp1,Cnbp,1.00812115307975
Marrow__megakaryocyte.erythroid.progenitor.cell,0.0251865671641791,0.981818181818182,Hdgf,Hnrnpab,Cnbp,Hnrnpk,1.00700474898236
Marrow__megakaryocyte.erythroid.progenitor.cell,0.0261599210266535,0.963636363636364,Hdgf,Hnrnpab,Pcbp1,Hnrnpk,0.989796284663017
Limb_Muscle__mesenchymal.stem.cell,0.255813953488372,0.55,Ifi205,Nfia,Nfib,Tcf4,0.805813953488372
Limb_Muscle__mesenchymal.stem.cell,0.254098360655738,0.516666666666667,Ifi205,Nfia,Zbtb20,Nfib,0.770765027322404
Limb_Muscle__mesenchymal.stem.cell,0.285714285714286,0.5,Ifi205,Zbtb20,Nfib,Tcf4,0.785714285714286
Limb_Muscle__skeletal.muscle.satellite.cell,0.122047244094488,0.516666666666667,Tgif1,Xbp1,Arid5b,Rela,0.638713910761155
Limb_Muscle__skeletal.muscle.satellite.cell,0.194630872483221,0.483333333333333,Tgif1,Xbp1,Arid5b,Runx1,0.677964205816555
Limb_Muscle__skeletal.muscle.satellite.cell,0.166666666666667,0.466666666666667,Tgif1,Xbp1,Arid5b,Fosl1,0.633333333333333
Limb_Muscle__endothelial.cell,0.197674418604651,0.283333333333333,Sox17,Id1,Nfe2l2,Tcf4,0.481007751937985
Limb_Muscle__endothelial.cell,0.333333333333333,0.266666666666667,Sox17,Id1,Nfe2l2,Bcl3,0.6
Limb_Muscle__endothelial.cell,0.307692307692308,0.266666666666667,Sox17,Id1,Bcl3,Tcf4,0.574358974358974
Limb_Muscle__B.cell,0.167567567567568,0.516666666666667,Mef2c,Rel,Foxp1,Pcbp1,0.684234234234234
Limb_Muscle__B.cell,0.319148936170213,0.5,Mef2c,Satb1,Rel,Pcbp1,0.819148936170213
Limb_Muscle__B.cell,0.217391304347826,0.5,Mef2c,Rel,Ets1,Pcbp1,0.717391304347826
Limb_Muscle__macrophage,0.132530120481928,0.366666666666667,Bcl3,Nfe2l2,Bach1,Sub1,0.499196787148594
Limb_Muscle__macrophage,0.190909090909091,0.35,Batf,Bcl3,Nfe2l2,Sub1,0.540909090909091
Limb_Muscle__macrophage,0.395833333333333,0.316666666666667,Batf,Bcl3,Nfe2l2,Bach1,0.7125
Limb_Muscle__T.cell,0.0444015444015444,0.657142857142857,Ets1,Satb1,Cnbp,Sub1,0.701544401544402
Limb_Muscle__T.cell,0.0574412532637076,0.628571428571429,Crem,Ets1,Cnbp,Sub1,0.686012681835136
Limb_Muscle__T.cell,0.0493506493506494,0.542857142857143,Tcf7,Ets1,Cnbp,Sub1,0.592207792207792
Limb_Muscle__skeletal.muscle.satellite.stem.cell,0.536585365853659,0.366666666666667,Tgif1,Myf5,Nfib,Nfia,0.903252032520325
Limb_Muscle__skeletal.muscle.satellite.stem.cell,0.11340206185567,0.366666666666667,Tgif1,Bcl3,Nfib,Nfia,0.480068728522337
Limb_Muscle__skeletal.muscle.satellite.stem.cell,0.0969162995594714,0.366666666666667,Tgif1,Arid5b,Nfib,Nfia,0.463582966226138
Limb_Muscle__lymphocyte,0.0916666666666667,0.366666666666667,Crem,Sub1,Hmgb2,Ets1,0.458333333333333
Limb_Muscle__lymphocyte,0.0905349794238683,0.366666666666667,Crem,Sub1,Foxp1,Hmgb2,0.457201646090535
Limb_Muscle__lymphocyte,0.140845070422535,0.333333333333333,Crem,Sub1,Rel,Foxp1,0.474178403755869
Pancreas__endothelial.cell,0.120512820512821,0.783333333333333,Tsc22d1,Epas1,Tcf4,Nfib,0.903846153846154
Pancreas__endothelial.cell,0.189655172413793,0.733333333333333,Sox18,Tsc22d1,Epas1,Tcf4,0.922988505747126
Pancreas__endothelial.cell,0.120111731843575,0.716666666666667,Tsc22d1,Epas1,Notch1,Tcf4,0.836778398510242
Pancreas__leukocyte,0.195121951219512,0.30188679245283,Mafb,Irf5,Nfe2l2,Runx1,0.497008743672342
Pancreas__leukocyte,0.163265306122449,0.30188679245283,Mafb,Irf5,Cebpa,Nfe2l2,0.465152098575279
Pancreas__leukocyte,0.176470588235294,0.283018867924528,Mafb,Irf5,Nfe2l2,Zeb2,0.459489456159822
Pancreas__pancreatic.acinar.cell,1,0.15,Rbpjl,Bhlha15,Tead2,Klf15,1.15
Pancreas__pancreatic.acinar.cell,1,0.1,Rbpjl,Bhlha15,Klf15,Ptf1a,1.1
Pancreas__pancreatic.acinar.cell,1,0.0833333333333333,Rbpjl,Bhlha15,Tead2,Ptf1a,1.08333333333333
Pancreas__type.B.pancreatic.cell,0.336065573770492,0.683333333333333,Neurod1,Pax6,Xbp1,Ncor1,1.01939890710383
Pancreas__type.B.pancreatic.cell,0.425531914893617,0.666666666666667,Neurod1,Preb,Xbp1,Ncor1,1.09219858156028
Pancreas__type.B.pancreatic.cell,0.291970802919708,0.666666666666667,Isl1,Neurod1,Xbp1,Ncor1,0.958637469586375
Pancreas__pancreatic.stellate.cell,0.145038167938931,0.404255319148936,Aebp1,Ifi205,Nfib,Xbp1,0.549293487087867
Pancreas__pancreatic.stellate.cell,0.115853658536585,0.404255319148936,Aebp1,Ndn,Nfib,Xbp1,0.520108977685522
Pancreas__pancreatic.stellate.cell,0.146551724137931,0.361702127659574,Aebp1,Ndn,Ifi205,Xbp1,0.508253851797505
Pancreas__pancreatic.A.cell,0.895833333333333,0.716666666666667,Mafb,Isl1,Etv1,Neurod1,1.6125
Pancreas__pancreatic.A.cell,0.847826086956522,0.65,Mafb,Isl1,Etv1,Ndn,1.49782608695652
Pancreas__pancreatic.A.cell,0.880952380952381,0.616666666666667,Mafb,Etv1,Neurod1,Ndn,1.49761904761905
Pancreas__pancreatic.ductal.cell,1,0.75,Hhex,Sox9,Nfib,Eno1,1.75
Pancreas__pancreatic.ductal.cell,0.9,0.75,Hhex,Sox9,Ctnnb1,Eno1,1.65
Pancreas__pancreatic.ductal.cell,0.882352941176471,0.75,Hhex,Sox9,Ctnnb1,Nfib,1.63235294117647
Pancreas__pancreatic.D.cell,0.972222222222222,0.583333333333333,Isl1,Hhex,Etv1,Xbp1,1.55555555555556
Pancreas__pancreatic.D.cell,0.891891891891892,0.55,Isl1,Hhex,St18,Xbp1,1.44189189189189
Pancreas__pancreatic.D.cell,1,0.533333333333333,Isl1,Hhex,Neurog3,Xbp1,1.53333333333333
Pancreas__pancreatic.PP.cell,0.376237623762376,0.633333333333333,Etv1,Isl1,Ndn,Xbp1,1.00957095709571
Pancreas__pancreatic.PP.cell,0.362745098039216,0.616666666666667,Etv1,Isl1,Pax6,Xbp1,0.979411764705882
Pancreas__pancreatic.PP.cell,0.53030303030303,0.583333333333333,Etv1,Isl1,Arx,Xbp1,1.11363636363636
Skin__keratinocyte.stem.cell,0.894736842105263,0.566666666666667,Nfib,Tfap2b,Sox9,Lhx2,1.46140350877193
Skin__keratinocyte.stem.cell,0.430379746835443,0.566666666666667,Nfib,Tfap2b,Sox9,Ctnnb1,0.99704641350211
Skin__keratinocyte.stem.cell,0.885714285714286,0.516666666666667,Nfib,Tbx1,Tfap2b,Sox9,1.40238095238095
Skin__basal.cell.of.epidermis,0.267515923566879,0.7,Gata3,Trp63,Foxn3,Hdgf,0.967515923566879
Skin__basal.cell.of.epidermis,0.21875,0.7,Gata3,Klf5,Foxn3,Hdgf,0.91875
Skin__basal.cell.of.epidermis,0.299270072992701,0.683333333333333,Gata3,Trp63,Foxn3,Nfib,0.982603406326034
Skin__epidermal.cell,0.255208333333333,0.816666666666667,Gata3,Klf5,Foxn3,Hdgf,1.071875
Skin__epidermal.cell,0.385245901639344,0.783333333333333,Gata3,Klf5,Bcl11b,Hdgf,1.16857923497268
Skin__epidermal.cell,0.418181818181818,0.766666666666667,Gata3,Klf5,Bcl11b,Foxn3,1.18484848484848
Skin__stem.cell.of.epidermis,0.213114754098361,0.981132075471698,Hmgb2,Gata3,Nucks1,Hnrnpk,1.19424682957006
Skin__stem.cell.of.epidermis,0.277173913043478,0.962264150943396,Hmgb2,Gata3,Nucks1,Taf9,1.23943806398687
Skin__stem.cell.of.epidermis,0.0754716981132075,0.981132075471698,Hmgb2,Nucks1,Taf9,Hnrnpk,1.05660377358491
Skin__leukocyte,0.222222222222222,0.4,Tbx1,Nfil3,Cited2,Lrrfip1,0.622222222222222
Skin__leukocyte,0.166666666666667,0.4,Barx2,Nfil3,Cited2,Lrrfip1,0.566666666666667
Skin__leukocyte,0.153846153846154,0.4,Barx2,Trp63,Cited2,Lrrfip1,0.553846153846154
Spleen__T.cell,0.133663366336634,0.45,Tcf7,Lef1,Ets1,Satb1,0.583663366336634
Spleen__T.cell,0.225490196078431,0.383333333333333,Tcf7,Lef1,Bcl11b,Satb1,0.608823529411765
Spleen__T.cell,0.152173913043478,0.35,Tcf7,Ets1,Bcl11b,Satb1,0.502173913043478
Spleen__B.cell,0.0595611285266458,0.316666666666667,Mef2c,Ets1,Foxp1,Tsc22d3,0.376227795193312
Spleen__B.cell,0.157407407407407,0.283333333333333,Spib,Bcl11a,Ets1,Tsc22d3,0.440740740740741
Spleen__B.cell,0.101190476190476,0.283333333333333,Spib,Mef2c,Ets1,Foxp1,0.384523809523809
Spleen__macrophage,0.156862745098039,0.333333333333333,Tbx21,Txk,Ets1,Satb1,0.490196078431373
Spleen__macrophage,0.217391304347826,0.3125,Tbx21,Txk,Ets1,Nfatc1,0.529891304347826
Spleen__macrophage,0.162790697674419,0.291666666666667,Tbx21,Txk,Eomes,Ets1,0.454457364341085
Thymus__immature.T.cell,0.151315789473684,0.766666666666667,Tcf7,Satb1,Ets1,Klf13,0.917982456140351
Thymus__immature.T.cell,0.261194029850746,0.583333333333333,Tcf7,Satb1,Klf13,Tsc22d4,0.84452736318408
Thymus__immature.T.cell,0.246376811594203,0.566666666666667,Tcf7,Satb1,Bcl11b,Klf13,0.81304347826087
Thymus__DN1.thymic.pro.T.cell,0.053156146179402,0.5,Gata3,Ets1,Eno1,Sub1,0.553156146179402
Thymus__DN1.thymic.pro.T.cell,0.0864197530864197,0.4375,Stat1,Gata3,Ets1,Sub1,0.52391975308642
Thymus__DN1.thymic.pro.T.cell,0.0740740740740741,0.4375,Stat1,Gata3,Eno1,Sub1,0.511574074074074
Tongue__keratinocyte,0.45,0.9,Pitx1,Ctnnb1,Hdgf,Hnrnpab,1.35
Tongue__keratinocyte,0.0649651972157773,0.933333333333333,Ctnnb1,Pa2g4,Hdgf,Hnrnpab,0.998298530549111
Tongue__keratinocyte,0.563829787234043,0.883333333333333,Klf5,Pitx1,Zbtb7a,Hnrnpab,1.44716312056738
Tongue__basal.cell.of.epidermis,0.101576182136602,0.966666666666667,Klf5,Hdgf,Hnrnpab,Hnrnpk,1.06824284880327
Tongue__basal.cell.of.epidermis,0.47008547008547,0.916666666666667,Pax9,Klf5,Hnrnpab,Hnrnpk,1.38675213675214
Tongue__basal.cell.of.epidermis,0.486486486486487,0.9,Pax9,Klf5,Hdgf,Hnrnpab,1.38648648648649
Trachea__epithelial.cell,1,0.05,Elf3,Nkx2.1,Nfat5,Hes1,1.05
Trachea__epithelial.cell,0,0,Elf3,Nfat5,Hes1,Taf4b,0
Trachea__epithelial.cell,NA,0,Elf3,Nkx2.1,Nfat5,Taf4b,NA
Trachea__endothelial.cell,0.123745819397993,0.616666666666667,Epas1,Tcf4,Tsc22d1,Ets1,0.74041248606466
Trachea__endothelial.cell,0.0715667311411992,0.616666666666667,Nfib,Tcf4,Tsc22d1,Ctnnb1,0.688233397807866
Trachea__endothelial.cell,0.148148148148148,0.6,Epas1,Tcf4,Ctnnb1,Ets1,0.748148148148148
Trachea__blood.cell,0.0254237288135593,0.6,Lrrfip1,Sub1,Hnrnpab,Hnrnpk,0.625423728813559
Trachea__blood.cell,0.0540958268933539,0.583333333333333,Crem,Sub1,Hnrnpab,Hnrnpk,0.637429160226687
Trachea__blood.cell,0.0967741935483871,0.55,Crem,Lrrfip1,Sub1,Hnrnpk,0.646774193548387
Trachea__mesenchymal.cell,0.138036809815951,0.75,Zbtb20,Nfix,Nfib,Nfia,0.888036809815951
Trachea__mesenchymal.cell,0.123626373626374,0.75,Nfix,Nfib,Nfia,Tcf4,0.873626373626374
Trachea__mesenchymal.cell,0.157706093189964,0.733333333333333,Zbtb20,Nfix,Nfia,Tcf4,0.891039426523297
