"","nGene","nReads","orig.ident"
"A4.MAA000586.3_8_M.1.1",3171,1461383,"Heart"
"A4.MAA000589.3_9_M.1.1",2669,289696,"Heart"
"A4.MAA000898.3_11_M.1.1",1929,824330,"Heart"
"A4.MAA000903.3_11_M.1.1",3235,1487172,"Heart"
"A4.MAA000918.3_10_M.1.1",3020,393326,"Heart"
"A4.MAA100096.3_38_F.1.1",5822,631297,"Heart"
"A5.B000634.3_56_F.1.1",2442,707106,"Heart"
"A5.B002010.3_39_F.1.1",2397,1409527,"Heart"
"A5.B002423.3_39_F.1.1",3411,1251656,"Heart"
"A5.B002427.3_39_F.1.1",2391,1149257,"Heart"
"A5.MAA000400.3_8_M.1.1",4631,1452734,"Heart"
"A5.MAA000586.3_8_M.1.1",2712,1594097,"Heart"
"A5.MAA000903.3_11_M.1.1",2685,1045122,"Heart"
"A5.MAA000920.3_11_M.1.1",2183,475856,"Heart"
"A5.MAA000936.3_9_M.1.1",2421,813650,"Heart"
"A5.MAA100037.3_10_M.1.1",7245,1270672,"Heart"
"A6.B000412.3_56_F.1.1",855,99701,"Heart"
"A6.B000633.3_56_F.1.1",3337,1034192,"Heart"
"A6.B002010.3_39_F.1.1",3370,1630667,"Heart"
"A6.B002011.3_38_F.1.1",1365,859300,"Heart"
"A6.B002427.3_39_F.1.1",2929,918811,"Heart"
"A6.MAA000400.3_8_M.1.1",3705,1379243,"Heart"
"A6.MAA000903.3_11_M.1.1",3144,1107167,"Heart"
"A6.MAA000918.3_10_M.1.1",2056,248373,"Heart"
"A6.MAA000919.3_10_M.1.1",2270,1116167,"Heart"
"A6.MAA100037.3_10_M.1.1",4641,1734112,"Heart"
"A7.B000633.3_56_F.1.1",3072,345699,"Heart"
"A7.B002010.3_39_F.1.1",3461,1237625,"Heart"
"A7.B002423.3_39_F.1.1",1935,495924,"Heart"
"A7.B002427.3_39_F.1.1",2221,586124,"Heart"
"A7.B002428.3_38_F.1.1",1196,583168,"Heart"
"A7.MAA000400.3_8_M.1.1",2357,410034,"Heart"
"A7.MAA000903.3_11_M.1.1",3384,1308933,"Heart"
"A7.MAA000919.3_10_M.1.1",4533,1410097,"Heart"
"A7.MAA000936.3_9_M.1.1",2443,526911,"Heart"
"A7.MAA100037.3_11_M.1.1",3392,98912,"Heart"
"A7.MAA100096.3_39_F.1.1",6214,917504,"Heart"
"A8.B000633.3_56_F.1.1",4024,511921,"Heart"
"A8.B002428.3_38_F.1.1",1760,658507,"Heart"
"A8.MAA000586.3_8_M.1.1",3325,1565560,"Heart"
"A8.MAA000903.3_11_M.1.1",1233,312464,"Heart"
"A8.MAA000918.3_10_M.1.1",2000,292578,"Heart"
"A8.MAA000936.3_9_M.1.1",3367,576571,"Heart"
"A8.MAA100097.3_39_F.1.1",4118,1180017,"Heart"
"A9.B000634.3_56_F.1.1",1143,259245,"Heart"
"A9.B002010.3_39_F.1.1",2807,1639700,"Heart"
"A9.B002421.3_39_F.1.1",1861,858072,"Heart"
"A9.B002423.3_39_F.1.1",2467,937096,"Heart"
"A9.B002427.3_39_F.1.1",1929,584857,"Heart"
"A9.B002428.3_38_F.1.1",1700,901869,"Heart"
"A9.MAA000398.3_9_M.1.1",1870,285719,"Heart"
"A9.MAA000399.3_9_M.1.1",4024,1828682,"Heart"
"A9.MAA000899.3_10_M.1.1",3688,1007779,"Heart"
"A9.MAA000918.3_10_M.1.1",2124,356920,"Heart"
"A9.MAA100037.3_11_M.1.1",6442,1051375,"Heart"
"B1.B000634.3_56_F.1.1",2601,734210,"Heart"
"B1.B000636.3_56_F.1.1",1327,702680,"Heart"
"B1.B002010.3_39_F.1.1",3678,2043237,"Heart"
"B1.B002011.3_38_F.1.1",2549,1190998,"Heart"
"B1.B002427.3_39_F.1.1",2123,915619,"Heart"
"B1.B002428.3_38_F.1.1",1470,672504,"Heart"
"B1.MAA000398.3_9_M.1.1",3444,659133,"Heart"
"B1.MAA000399.3_9_M.1.1",6096,1512794,"Heart"
"B1.MAA000586.3_8_M.1.1",2984,1467247,"Heart"
"B1.MAA000587.3_8_M.1.1",1953,546678,"Heart"
"B1.MAA000898.3_11_M.1.1",1494,123109,"Heart"
"B1.MAA000903.3_11_M.1.1",3549,1254831,"Heart"
"B1.MAA100037.3_10_M.1.1",628,229358,"Heart"
"B1.MAA100096.3_38_F.1.1",6170,834280,"Heart"
"B10.B000633.3_56_F.1.1",3245,917948,"Heart"
"B10.B000636.3_56_F.1.1",601,264034,"Heart"
"B10.B002010.3_39_F.1.1",2554,1412200,"Heart"
"B10.B002011.3_38_F.1.1",1525,1244157,"Heart"
"B10.B002421.3_39_F.1.1",1685,550820,"Heart"
"B10.B002423.3_39_F.1.1",1989,851943,"Heart"
"B10.B002427.3_39_F.1.1",2330,933397,"Heart"
"B10.B002428.3_38_F.1.1",1850,984092,"Heart"
"B10.MAA000903.3_11_M.1.1",3143,1254299,"Heart"
"B10.MAA000936.3_9_M.1.1",2678,438003,"Heart"
"B10.MAA100037.3_11_M.1.1",3988,618238,"Heart"
"B11.B000633.3_56_F.1.1",2411,179930,"Heart"
"B11.B000636.3_56_F.1.1",1774,850191,"Heart"
"B11.B002010.3_39_F.1.1",3603,1159713,"Heart"
"B11.B002011.3_38_F.1.1",1844,1053668,"Heart"
"B11.B002421.3_39_F.1.1",1875,908731,"Heart"
"B11.B002423.3_39_F.1.1",3030,1113266,"Heart"
"B11.B002427.3_39_F.1.1",2963,627719,"Heart"
"B11.B002428.3_38_F.1.1",1373,609636,"Heart"
"B11.MAA000398.3_9_M.1.1",4840,659794,"Heart"
"B11.MAA000399.3_9_M.1.1",2261,543536,"Heart"
"B11.MAA000587.3_8_M.1.1",4184,1630242,"Heart"
"B11.MAA000589.3_9_M.1.1",1957,326422,"Heart"
"B11.MAA000903.3_11_M.1.1",1517,510016,"Heart"
"B11.MAA000920.3_11_M.1.1",1151,295304,"Heart"
"B11.MAA000936.3_9_M.1.1",3122,380496,"Heart"
"B12.B000633.3_56_F.1.1",3445,671842,"Heart"
"B12.B000634.3_56_F.1.1",4225,899473,"Heart"
"B12.B002010.3_39_F.1.1",2873,1205239,"Heart"
"B12.B002011.3_38_F.1.1",1791,1437838,"Heart"
"B12.B002421.3_39_F.1.1",699,255659,"Heart"
"B12.B002423.3_39_F.1.1",1173,246419,"Heart"
"B12.B002427.3_39_F.1.1",3619,625619,"Heart"
"B12.B002428.3_38_F.1.1",2221,983113,"Heart"
"B12.B002429.3_38_F.1.1",846,339623,"Heart"
"B12.MAA000398.3_9_M.1.1",5420,725708,"Heart"
"B12.MAA000399.3_9_M.1.1",1335,207080,"Heart"
"B12.MAA000400.3_8_M.1.1",4903,663033,"Heart"
"B12.MAA000452.3_8_M.1.1",4510,1348962,"Heart"
"B12.MAA000586.3_8_M.1.1",2866,859110,"Heart"
