p_val,avg_logFC,pct.1,pct.2,cluster,gene,,
3.02E-10,0.302956258,0.887,0.744,9,Rps23,,
9.17E-08,0.301498179,0.167,0.064,9,Pglyrp1,,
3.56E-12,0.29953715,0.935,0.778,9,Rps15a,,
9.57E-10,0.296904552,0.839,0.688,9,Rpl23a,,
4.16E-07,0.293406791,0.618,0.426,9,Rpl5,,
2.18E-08,0.292890374,0.855,0.708,9,Rpl4,,
6.05E-08,0.291430975,0.849,0.673,9,Rps2,,
3.99E-19,0.286618242,0.989,0.928,9,Rpl13,,
4.92E-10,0.280166519,0.903,0.7,9,Rps21,,
2.21E-08,0.277549396,0.882,0.775,9,Rpl26,,
2.95E-07,0.274999644,0.199,0.084,9,H2-DMb2,,
6.71E-07,0.260969378,0.656,0.442,9,Pfn1,,
0,4.216010434,0.995,0.068,10,Dcn,,Stromal cell_Dcn high
0,3.553918643,0.951,0.045,10,Col3a1,,
0,3.534263284,0.973,0.058,10,Col1a2,,
0,3.321365879,0.902,0.04,10,Col1a1,,
1.42E-159,3.290237859,0.978,0.29,10,Gsn,,
0,3.110655073,0.94,0.053,10,Serping1,,
0,3.008179198,0.842,0.022,10,Clec3b,,
0,2.901638082,0.852,0.046,10,Igfbp4,,
1.48E-156,2.803109575,0.984,0.266,10,Mgp,,
0,2.739899931,0.76,0.027,10,Serpinf1,,
0,2.663077154,0.776,0.024,10,Dpt,,
0,2.635917958,0.754,0.024,10,Cygb,,
0,2.55727134,0.798,0.036,10,Mfap5,,
2.33E-137,2.547585016,0.962,0.304,10,Sparc,,
0,2.539611052,0.623,0.018,10,Pi16,,
0,2.431923717,0.612,0.019,10,Gpc3,,
0,2.431658919,0.749,0.035,10,Pcolce,,
0,2.376888924,0.809,0.058,10,Bgn,,
1.79E-146,2.367541476,0.383,0.026,10,Eln,,
0,2.317408343,0.716,0.032,10,Fstl1,,
0,2.310716165,0.574,0.022,10,Cxcl12,,
0,2.309170752,0.689,0.019,10,Fbln1,,
0,2.301114559,0.743,0.04,10,Rarres2,,
1.07E-241,2.256776185,0.858,0.097,10,Serpinh1,,
0,2.248305126,0.667,0.016,10,C1s1,,
4.41E-187,2.219082931,0.568,0.048,10,Cyr61,,
0,2.203937144,0.661,0.02,10,C1ra,,
0,2.150225297,0.596,0.01,10,Col14a1,,
8.82E-168,2.130317122,0.257,0.008,10,Mmp3,,
3.74E-186,2.119437827,0.809,0.11,10,Timp3,,
7.44E-138,2.119147953,0.956,0.267,10,Igfbp7,,
2.84E-117,2.115025121,0.612,0.1,10,C3,,
0,2.109258543,0.426,0.007,10,Lum,,
9.08E-173,2.107283711,0.754,0.104,10,Inmt,,
0,2.09533147,0.678,0.031,10,Ltbp4,,
0,2.082154159,0.585,0.026,10,Aebp1,,
0,2.076151818,0.672,0.028,10,Rbp1,,
0,2.049986322,0.634,0.028,10,Ogn,,
0,2.047549207,0.514,0.01,10,Htra3,,
9.22E-246,2.040271334,0.607,0.039,10,Adh1,,
5.40E-201,2.034439748,0.53,0.037,10,Mfap4,,
1.07E-289,2.032776135,0.65,0.037,10,Pcolce2,,
2.78E-158,2.031617118,0.863,0.165,10,Ctsl,,
1.82E-237,2.013833298,0.41,0.016,10,C4b,,
5.41E-210,2.012725251,0.617,0.05,10,Nbl1,,
2.80E-124,1.972521943,0.279,0.016,10,Cxcl1,,
2.56E-286,1.970894852,0.585,0.029,10,Cd34,,
0,1.968699973,0.628,0.029,10,Fxyd1,,
0,1.968299136,0.546,0.013,10,Adamts2,,
0,1.965164438,0.623,0.022,10,Mmp2,,
1.48E-142,1.958142041,0.694,0.101,10,Id3,,
4.29E-285,1.93698159,0.716,0.047,10,Sod3,,
2.70E-223,1.898212203,0.612,0.044,10,Sparcl1,,
1.20E-274,1.893394244,0.508,0.022,10,Cfh,,
3.67E-249,1.866025986,0.421,0.016,10,Meg3,,
6.39E-228,1.85674804,0.519,0.03,10,Col6a2,,
1.95E-170,1.824765867,0.656,0.073,10,Timp2,,
8.02E-111,1.813315619,0.596,0.095,10,Igfbp6,,
3.99E-232,1.764808818,0.546,0.033,10,Rcn3,,
4.08E-191,1.75259831,0.426,0.024,10,Crispld2,,
1.76E-285,1.745734082,0.486,0.018,10,Loxl1,,
2.98E-176,1.718024652,0.525,0.042,10,Plpp3,,
6.61E-280,1.699552066,0.459,0.016,10,Dpep1,,
1.00E-156,1.696167041,0.601,0.066,10,Col6a1,,
1.03E-104,1.695452592,0.383,0.039,10,Rbp4,,
4.71E-234,1.668729441,0.454,0.021,10,Htra1,,
2.20E-201,1.658021009,0.219,0.003,10,Apod,,
2.89E-171,1.636552382,0.486,0.037,10,Il11ra1,,
3.79E-215,1.630124237,0.273,0.006,10,Tnfaip6,,
3.10E-285,1.564622213,0.393,0.01,10,Tnxb,,
0,1.562545708,0.361,0.003,10,Scara5,,
2.15E-93,1.560291166,0.661,0.134,10,Egr1,,
1.07E-148,1.546434873,0.393,0.027,10,Olfml3,,
1.76E-95,1.544376532,0.721,0.159,10,Ly6a,,
9.87E-169,1.531627731,0.306,0.013,10,Serpina3n,,
2.51E-295,1.529220003,0.361,0.007,10,Abca8a,,
2.82E-224,1.52664016,0.421,0.018,10,Selenom,,
3.39E-208,1.514315421,0.295,0.008,10,Fbn1,,
1.08E-140,1.50810143,0.426,0.034,10,Ecm1,,
0,1.499735944,0.317,0.002,10,Cd248,,
0,1.499636792,0.339,0.004,10,Olfml2b,,
1.37E-127,1.499232519,0.219,0.008,10,Il6,,
6.40E-99,1.45999907,0.568,0.09,10,Tuba1a,,
0,1.456501183,0.322,0.004,10,Entpd2,,
9.31E-61,1.452377729,0.858,0.379,10,Fos,,
1.25E-27,1.449512101,0.454,0.166,10,Dnajb1,,
4.08E-176,1.445155331,0.317,0.013,10,Ccdc80,,
1.25E-180,1.436232804,0.377,0.019,10,Rcn1,,
1.40E-49,1.435040067,0.448,0.107,10,Gas6,,
2.33E-59,1.425730173,0.557,0.14,10,Cebpd,,
7.47E-49,1.416208027,0.415,0.092,10,Socs3,,
1.53E-252,1.41449249,0.295,0.005,10,Osr1,,
2.35E-84,1.4141123,0.339,0.038,10,Efemp1,,
1.28E-170,1.394288557,0.383,0.021,10,Prkcdbp,,
4.24E-229,1.383791089,0.333,0.01,10,Col5a2,,
1.11E-251,1.369897276,0.306,0.006,10,Col15a1,,
3.24E-188,1.367480862,0.29,0.009,10,Akap12,,
3.73E-87,1.363777426,0.885,0.273,10,Lgals1,,
1.12E-163,1.353747684,0.421,0.028,10,Lhfp,,
0,1.352724564,0.257,0.001,10,Ccl11,,
9.34E-87,1.349159473,0.503,0.08,10,Cd302,,
1.96E-244,1.347961868,0.246,0.003,10,Fbln2,,
4.63E-150,1.334647634,0.257,0.01,10,Bace2,,
1.72E-52,1.329438935,0.716,0.258,10,Jun,,
6.43E-136,1.32221372,0.628,0.078,10,Pmp22,,
3.42E-233,1.320001888,0.257,0.004,10,Gdf10,,
3.49E-169,1.317983444,0.24,0.007,10,Clec11a,,
6.86E-74,1.31601169,0.76,0.214,10,Gstm1,,
4.27E-159,1.310647522,0.273,0.01,10,Ms4a4d,,
2.45E-67,1.303694477,0.388,0.06,10,Adamts1,,
4.04E-141,1.300843935,0.339,0.02,10,Mxra7,,
1.69E-172,1.298574405,0.208,0.004,10,Penk,,
4.87E-185,1.294501747,0.23,0.005,10,Gfpt2,,
1.47E-36,1.293961931,0.443,0.125,10,Gadd45g,,
5.63E-154,1.291968387,0.257,0.009,10,Vegfd,,
1.13E-175,1.290467038,0.24,0.006,10,Podn,,
2.49E-205,1.288864809,0.251,0.005,10,Gas1,,
2.49E-49,1.285779425,0.41,0.087,10,Fosb,,
3.73E-198,1.283990509,0.262,0.006,10,Pdgfrl,,
4.09E-136,1.275431869,0.257,0.011,10,Atp1a2,,
3.10E-61,1.272012953,0.47,0.094,10,Gpx3,,
7.95E-112,1.264295515,0.366,0.032,10,Mxra8,,
4.02E-163,1.253342991,0.246,0.008,10,Igsf10,,
1.37E-94,1.248350524,0.306,0.026,10,Slc43a3,,
2.41E-99,1.243856824,0.279,0.02,10,Ptgis,,
1.20E-149,1.237693994,0.333,0.018,10,Fkbp7,,
4.12E-74,1.235215956,0.443,0.071,10,Gstm2,,
2.11E-78,1.233234466,0.366,0.046,10,Fhl1,,
2.17E-246,1.2299141,0.235,0.003,10,Srpx,,
2.97E-46,1.217387017,0.858,0.386,10,Junb,,
2.18E-73,1.21522853,0.333,0.041,10,Fmo2,,
4.63E-116,1.211922686,0.273,0.016,10,Fgfr1,,
1.91E-101,1.20416387,0.262,0.017,10,Sdc2,,
8.67E-72,1.203202845,0.388,0.055,10,Lrp1,,
2.08E-140,1.200616424,0.301,0.016,10,Colec12,,
6.10E-22,1.197861108,0.306,0.094,10,Mt2,,
1.99E-157,1.19723527,0.24,0.008,10,Kdelr3,,
1.07E-75,1.181412374,0.306,0.034,10,Fkbp9,,
2.55E-88,1.180380246,0.284,0.024,10,Plxdc2,,
5.76E-165,1.177721517,0.197,0.004,10,Cfb,,
5.90E-97,1.175947787,0.388,0.042,10,Cpq,,
3.16E-75,1.175894214,0.262,0.025,10,Bicc1,,
1.42E-174,1.174318699,0.257,0.008,10,Mmp23,,
2.02E-208,1.168847653,0.224,0.003,10,Medag,,
3.92E-65,1.165745956,0.415,0.07,10,Scpep1,,
2.51E-112,1.161554005,0.197,0.008,10,Timp1,,
4.17E-113,1.161179011,0.273,0.017,10,Igf1,,
4.85E-107,1.134954822,0.262,0.016,10,Dkk3,,
1.12E-194,1.132395896,0.219,0.004,10,Islr,,
2.81E-139,1.130946944,0.23,0.008,10,Nid1,,
1.23E-24,1.130135786,0.65,0.354,10,Zfp36,,
3.38E-107,1.116119373,0.268,0.017,10,Tpst1,,
6.17E-69,1.112849844,0.257,0.026,10,Csrp2,,
1.82E-61,1.112716375,0.399,0.068,10,Vkorc1,,
7.35E-74,1.100503805,0.18,0.011,10,Smoc2,,
1.82E-73,1.090461272,0.328,0.039,10,Ddah2,,
5.34E-102,1.083400418,0.186,0.008,10,Spon2,,
7.37E-100,1.070519096,0.301,0.024,10,Fbln5,,
5.58E-54,1.069017345,0.366,0.065,10,Calu,,
9.36E-181,1.060841333,0.208,0.004,10,Fndc1,,
2.64E-51,1.046485886,0.301,0.046,10,Emp1,,
2.94E-121,1.044037559,0.224,0.009,10,Pdgfra,,
7.22E-43,1.036458739,0.284,0.049,10,Nfib,,
1.03E-37,1.029281673,0.705,0.275,10,Ier2,,
2.50E-42,1.028333522,0.158,0.016,10,Igfbp5,,
3.47E-28,1.025186254,0.257,0.057,10,Fn1,,
9.34E-154,1.022314897,0.213,0.006,10,Cpxm1,,
1.14E-157,1.015733556,0.202,0.005,10,Ddr2,,
3.84E-39,1.01402191,0.525,0.162,10,Arf4,,
1.89E-40,1.01370547,0.388,0.092,10,Tmed3,,
5.85E-72,1.000659974,0.257,0.024,10,Vcam1,,
2.08E-76,0.999052107,0.213,0.016,10,Gpm6b,,
5.16E-144,0.998913631,0.175,0.004,10,Ndn,,
1.01E-48,0.98831093,0.202,0.023,10,F3,,
1.07E-43,0.982812746,0.213,0.028,10,Atf5,,
6.28E-53,0.9816374,0.88,0.371,10,S100a6,,
5.54E-84,0.974631296,0.197,0.012,10,Fxyd6,,
7.94E-122,0.974208753,0.213,0.008,10,Angptl2,,
9.43E-48,0.973907916,0.251,0.036,10,Snhg18,,
3.34E-160,0.969780697,0.202,0.004,10,Col5a1,,
1.48E-196,0.969497838,0.186,0.002,10,Loxl2,,
1.16E-35,0.96792525,0.317,0.07,10,Dbp,,
1.90E-33,0.967147019,0.443,0.13,10,Klf9,,
3.49E-85,0.959625898,0.186,0.01,10,Abi3bp,,
9.60E-151,0.958075266,0.18,0.004,10,C2,,
2.41E-44,0.956273284,0.311,0.056,10,Vat1,,
7.23E-53,0.953687194,0.377,0.067,10,Klf4,,
6.22E-90,0.953658472,0.18,0.009,10,Ndrg2,,
4.94E-53,0.953544944,0.246,0.031,10,Twsg1,,
7.54E-28,0.949802246,0.514,0.188,10,Nr4a1,,
1.48E-99,0.946779755,0.202,0.01,10,Tcf21,,
7.94E-97,0.946199354,0.186,0.008,10,Plat,,
2.77E-69,0.942807826,0.202,0.015,10,Tmem119,,
2.01E-16,0.937060694,0.311,0.116,10,Ly6c1,,
6.19E-36,0.934222668,0.393,0.101,10,Nedd4,,
7.83E-42,0.927412361,0.372,0.08,10,Serpinb6a,,
1.11E-39,0.92539865,0.268,0.047,10,Npdc1,,
3.38E-40,0.924238969,0.322,0.063,10,Axl,,
4.01E-40,0.922902393,0.765,0.327,10,Laptm4a,,
1.09E-91,0.920421536,0.158,0.006,10,Aspn,,
1.56E-43,0.916866875,0.377,0.08,10,Gpx8,,
8.59E-156,0.907938543,0.158,0.002,10,Svep1,,
5.85E-105,0.905086842,0.158,0.005,10,Mdk,,
2.97E-47,0.901947198,0.24,0.033,10,Copz2,,
2.20E-37,0.898906037,0.366,0.085,10,Fcgrt,,
6.56E-77,0.897160922,0.169,0.009,10,Pamr1,,
5.65E-44,0.89526027,0.197,0.024,10,Heg1,,
2.44E-31,0.892153139,0.295,0.067,10,Zbtb20,,
7.88E-125,0.891210119,0.202,0.007,10,C1qtnf7,,
1.00E-37,0.889864544,0.82,0.376,10,Cd63,,
6.32E-34,0.887989363,0.333,0.078,10,Prdx4,,
1.83E-47,0.885882798,0.224,0.028,10,Mmp14,,
1.29E-114,0.884259969,0.164,0.005,10,Lama2,,
1.65E-190,0.882756865,0.175,0.002,10,Scara3,,
2.13E-75,0.877187339,0.197,0.013,10,Tgfb3,,
6.30E-17,0.873006387,0.585,0.324,10,Mt1,,
3.58E-88,0.871015003,0.208,0.012,10,Mfap2,,
3.56E-32,0.869591114,0.541,0.191,10,Cd81,,
7.49E-107,0.868473833,0.158,0.005,10,Ecm2,,
1.85E-35,0.867217932,0.585,0.203,10,Pdia3,,
3.88E-28,0.864302161,0.202,0.037,10,Uap1,,
1.75E-79,0.863404262,0.186,0.011,10,Col6a3,,
2.84E-47,0.858797383,0.186,0.02,10,Ugdh,,
3.34E-140,0.858704042,0.169,0.003,10,Nnmt,,
7.31E-83,0.856814828,0.169,0.008,10,Csf1,,
8.54E-58,0.852328999,0.186,0.016,10,Crtap,,
1.19E-120,0.849252983,0.169,0.005,10,Lrrc17,,
3.69E-18,0.847969506,0.492,0.226,10,Phlda1,,
4.79E-67,0.838492422,0.169,0.011,10,Wfdc1,,
2.65E-105,0.832912016,0.164,0.005,10,Lpar1,,
2.34E-32,0.829518811,0.208,0.035,10,Tspan4,,
6.01E-45,0.828341485,0.279,0.044,10,Tspan3,,
7.96E-34,0.823092517,0.235,0.041,10,Pid1,,
6.26E-32,0.819548474,0.197,0.032,10,Hspb8,,
6.66E-74,0.799782149,0.158,0.008,10,Lamb1,,
4.10E-70,0.796815663,0.175,0.011,10,Itm2a,,
1.43E-60,0.795228753,0.169,0.012,10,Cped1,,
7.60E-35,0.794178332,0.169,0.022,10,Efemp2,,
2.35E-53,0.792202187,0.186,0.017,10,Gpx7,,
2.25E-35,0.787519233,0.18,0.025,10,Phlda3,,
2.15E-25,0.787388527,0.35,0.103,10,Nenf,,
2.16E-52,0.785383603,0.186,0.018,10,Lamc1,,
2.20E-34,0.781782782,0.268,0.052,10,Eva1b,,
2.81E-53,0.771376339,0.913,0.371,10,Ifitm3,,
1.34E-25,0.770726922,0.224,0.048,10,Txndc5,,
1.11E-28,0.768637939,0.694,0.311,10,S100a10,,
1.31E-20,0.767241433,0.361,0.124,10,Gstt1,,
1.53E-54,0.766194375,0.169,0.014,10,Fam114a1,,
2.93E-35,0.761394338,0.945,0.621,10,Itm2b,,
7.38E-30,0.75993562,0.672,0.273,10,Vim,,
2.19E-42,0.759710655,0.246,0.036,10,Cnn3,,
3.59E-22,0.758088406,0.328,0.102,10,Pdlim2,,
4.70E-24,0.757572379,0.224,0.05,10,Il6st,,
2.56E-36,0.755314269,0.279,0.053,10,S100a16,,
5.66E-36,0.754725186,0.164,0.02,10,Maged2,,
1.07E-18,0.743581916,0.322,0.109,10,Tgfbi,,
8.34E-17,0.735684033,0.284,0.098,10,Ppic,,
1.37E-21,0.731293151,0.197,0.044,10,Tnfrsf12a,,
9.47E-40,0.729058921,0.175,0.021,10,Hspg2,,
1.07E-30,0.722494748,0.656,0.25,10,Ifitm2,,
1.33E-40,0.720301164,0.202,0.026,10,Pdpn,,
6.59E-38,0.716943485,0.186,0.024,10,Ctsk,,
7.14E-25,0.715949857,0.617,0.271,10,P4hb,,
6.25E-13,0.715875794,0.186,0.057,10,Maff,,
6.57E-31,0.714578132,0.191,0.03,10,Tmem204,,
1.38E-19,0.709103456,0.721,0.444,10,Apoe,,
1.34E-23,0.706676155,0.284,0.076,10,Tm2d2,,
7.90E-21,0.704987134,0.169,0.034,10,Gem,,
4.02E-38,0.70401065,0.169,0.02,10,Sgce,,
1.82E-25,0.703230878,0.262,0.063,10,Maged1,,
7.87E-37,0.700259381,0.219,0.034,10,Rab34,,
7.69E-19,0.699205506,0.219,0.058,10,Nfix,,
5.98E-26,0.699059168,0.29,0.073,10,Rhoc,,
3.07E-34,0.684176469,0.153,0.018,10,Arap1,,
1.27E-42,0.681889854,0.169,0.018,10,Prelp,,
9.28E-20,0.677691873,0.23,0.06,10,Cald1,,
7.74E-23,0.676179194,0.557,0.235,10,Ppib,,
1.07E-21,0.675281851,0.464,0.176,10,Lamp2,,
9.08E-23,0.67391621,0.164,0.03,10,Qpct,,
1.66E-14,0.664437575,0.355,0.147,10,Atf3,,
5.12E-32,0.660004061,0.158,0.021,10,Wipi1,,
3.73E-37,0.65668351,0.158,0.018,10,Sec24d,,
1.04E-13,0.648304879,0.279,0.104,10,Sptbn1,,
5.60E-20,0.646671005,0.262,0.074,10,Gabarapl1,,
1.50E-18,0.645567711,0.454,0.186,10,Slc25a4,,
2.50E-16,0.63355643,0.432,0.182,10,Ifi27,,
1.48E-25,0.626482377,0.322,0.086,10,Hexb,,
7.11E-21,0.62476942,0.153,0.029,10,Lamb2,,
1.37E-15,0.624618747,0.175,0.046,10,Pbx1,,
7.09E-22,0.622194478,0.311,0.092,10,Ergic3,,
5.33E-20,0.621652066,0.158,0.032,10,Ptrf,,
1.26E-26,0.619211755,0.158,0.025,10,Chpf,,
2.68E-14,0.618301829,0.175,0.048,10,Myadm,,
2.21E-15,0.61749019,0.284,0.099,10,Col4a1,,
1.05E-18,0.609111627,0.366,0.13,10,Sh3bgrl,,
2.33E-18,0.604928843,0.197,0.049,10,Gaa,,
2.24E-20,0.603803037,0.251,0.067,10,Pea15a,,
1.65E-14,0.598444669,0.339,0.134,10,Dap,,
9.47E-32,0.597059271,0.169,0.024,10,Scn7a,,
1.62E-14,0.596583463,0.175,0.048,10,Cd63-ps,,
8.62E-20,0.594800658,0.224,0.057,10,Ehd2,,
1.39E-16,0.588718066,0.197,0.053,10,Parp3,,
1.53E-19,0.588102715,0.169,0.036,10,Slc29a1,,
1.83E-16,0.586898288,0.361,0.136,10,Ddost,,
4.36E-14,0.583999894,0.273,0.098,10,Morf4l2,,
1.29E-32,0.578927287,0.158,0.02,10,Epb41l2,,
3.10E-28,0.578063374,0.186,0.031,10,Pmepa1,,
2.33E-11,0.577916781,0.23,0.087,10,Tceal8,,
3.73E-12,0.577593105,0.333,0.144,10,Rrbp1,,
4.25E-19,0.57728136,0.235,0.063,10,Mfge8,,
2.18E-17,0.576914523,0.639,0.321,10,Anxa5,,
5.48E-22,0.572518064,0.164,0.031,10,Lima1,,
2.78E-14,0.564144684,0.224,0.072,10,Sfr1,,
1.16E-10,0.553072818,0.158,0.05,10,Irf1,,
3.71E-19,0.551802734,0.169,0.037,10,Vwa5a,,
3.00E-09,0.55141535,0.164,0.058,10,Camk2n1,,
1.49E-15,0.550925248,0.18,0.047,10,Tubb6,,
9.25E-14,0.548027585,0.508,0.253,10,Selenof,,
6.17E-17,0.546899348,0.317,0.109,10,Pltp,,
6.69E-13,0.54298897,0.29,0.113,10,Sar1a,,
1.18E-20,0.542386206,0.169,0.034,10,Dnajb4,,
6.14E-11,0.540590179,0.295,0.127,10,Cnpy2,,
7.16E-14,0.535154934,0.328,0.13,10,Hcfc1r1,,
1.18E-13,0.532671347,0.224,0.073,10,Tspan11,,
6.51E-15,0.530021697,0.158,0.039,10,Cmtm3,,
5.58E-17,0.529066725,0.158,0.036,10,Cp,,
1.30E-10,0.521345946,0.153,0.047,10,Alg5,,
6.15E-13,0.517607667,0.235,0.081,10,Lrpap1,,
4.70E-13,0.517561699,0.372,0.161,10,Rpn2,,
4.21E-13,0.516728574,0.235,0.08,10,Rtn4,,
3.53E-13,0.512538537,0.191,0.058,10,Ifnar2,,
1.35E-14,0.512459371,0.284,0.101,10,Ostc,,
8.28E-14,0.509437205,0.481,0.225,10,Pdia6,,
6.85E-17,0.508594081,0.164,0.038,10,Antxr2,,
3.94E-14,0.508234843,0.224,0.071,10,Tgfbr2,,
6.01E-18,0.504811033,0.24,0.067,10,Thbd,,
5.24E-16,0.504408146,0.279,0.092,10,Pttg1ip,,
1.17E-14,0.503720346,0.301,0.108,10,Hspa1b,,
9.19E-14,0.49696592,0.186,0.053,10,Dirc2,,
1.16E-09,0.493866702,0.153,0.05,10,Acat1,,
6.59E-12,0.491282617,0.158,0.046,10,Sec31a,,
1.07E-13,0.491238992,0.667,0.381,10,Dusp1,,
1.06E-10,0.489175261,0.459,0.243,10,Calr,,
6.53E-16,0.488990553,0.574,0.276,10,Selenow,,
1.98E-14,0.483695771,0.208,0.062,10,Cbx6,,
3.98E-10,0.482448805,0.158,0.052,10,H6pd,,
2.95E-11,0.482135576,0.279,0.114,10,Pebp1,,
4.23E-10,0.479063477,0.443,0.235,10,Btg2,,
9.15E-09,0.476398,0.311,0.15,10,Csrp1,,
2.28E-14,0.475377114,0.169,0.045,10,Rora,,
2.06E-17,0.472374761,0.164,0.037,10,Maf,,
6.02E-18,0.472254231,0.219,0.057,10,Add3,,
5.22E-10,0.461310054,0.153,0.049,10,Xdh,,
8.42E-13,0.460449395,0.175,0.051,10,Pigp,,
2.25E-15,0.455189679,0.525,0.234,10,Emp3,,
7.60E-15,0.454717059,0.776,0.452,10,Gnas,,
8.33E-12,0.452411882,0.257,0.098,10,Mcfd2,,
8.87E-11,0.452061882,0.235,0.09,10,Clic4,,
6.36E-09,0.451209627,0.262,0.116,10,Kdelr1,,
1.32E-16,0.450744576,0.153,0.034,10,B4galt1,,
1.33E-07,0.450363948,0.235,0.108,10,Fuca1,,
1.58E-10,0.448850944,0.339,0.156,10,Itm2c,,
2.59E-08,0.444890638,0.186,0.074,10,Cltb,,
1.01E-09,0.436096767,0.191,0.07,10,Tm9sf2,,
8.03E-15,0.432814082,0.153,0.037,10,Mesdc2,,
1.12E-11,0.42725374,0.273,0.106,10,Ilk,,
7.47E-11,0.427018418,0.557,0.309,10,Aldh2,,
4.91E-10,0.425882179,0.164,0.054,10,Ablim1,,
1.04E-09,0.421545421,0.546,0.315,10,Sec62,,
2.25E-11,0.421004135,0.18,0.058,10,Tusc3,,
2.92E-10,0.420994466,0.169,0.056,10,Kdelr2,,
9.45E-16,0.418989918,0.71,0.402,10,Ctsb,,
1.70E-06,0.418944563,0.175,0.077,10,Pnp,,
3.15E-09,0.417279884,0.41,0.217,10,Oat,,
2.05E-10,0.417117107,0.153,0.047,10,Pofut2,,
1.00E-15,0.416886147,0.175,0.044,10,Plpp1,,
1.78E-12,0.416281598,0.437,0.202,10,Ssr4,,
3.11E-09,0.415395697,0.224,0.09,10,Dpm3,,
1.19E-10,0.415265834,0.475,0.254,10,Hsp90b1,,
1.66E-08,0.414590012,0.246,0.108,10,Arl1,,
1.73E-08,0.413452556,0.301,0.142,10,Mtch1,,
8.77E-08,0.411760331,0.273,0.131,10,Manf,,
1.88E-11,0.410072871,0.164,0.05,10,Fermt2,,
8.26E-12,0.407559954,0.415,0.196,10,Anxa1,,
7.20E-10,0.407223977,0.399,0.2,10,Capns1,,
3.29E-07,0.406004315,0.18,0.076,10,Copa,,
3.34E-07,0.403394247,0.47,0.287,10,Krtcap2,,
3.70E-11,0.401398558,0.164,0.05,10,Parva,,
7.39E-09,0.401009224,0.301,0.139,10,Sdf4,,
8.54E-08,0.4008905,0.191,0.079,10,Ssr1,,
1.78E-06,0.398447779,0.202,0.095,10,Pls3,,
1.07E-08,0.398382369,0.235,0.1,10,Ssr3,,
1.90E-12,0.39594645,0.41,0.183,10,Grn,,
3.54E-07,0.392120301,0.273,0.137,10,Gstp1,,
1.99E-10,0.391102917,0.164,0.052,10,Bet1l,,
2.55E-07,0.385714318,0.175,0.071,10,Lgals3bp,,
8.91E-09,0.385459792,0.164,0.059,10,Yipf5,,
5.90E-13,0.384202522,0.667,0.366,10,Selenop,,
2.42E-08,0.383847137,0.355,0.181,10,Ssr2,,
8.31E-07,0.382839951,0.279,0.142,10,7-Sep,,
3.96E-08,0.382548855,0.158,0.058,10,Ginm1,,
4.20E-16,0.380987219,0.153,0.034,10,Gng11,,
1.24E-08,0.378530763,0.311,0.148,10,Smim14,,
2.34E-08,0.376122563,0.18,0.069,10,Cnih4,,
5.75E-12,0.375296811,0.552,0.287,10,Dynll1,,
8.64E-09,0.373396364,0.23,0.095,10,Sra1,,
8.66E-08,0.370634319,0.421,0.228,10,Jund,,
7.89E-09,0.370563247,0.372,0.189,10,Atp1b3,,
6.15E-07,0.365029237,0.153,0.06,10,Hk2,,
2.26E-07,0.363806351,0.164,0.065,10,Tcn2,,
1.13E-09,0.362487419,0.235,0.093,10,Leprot,,
1.42E-07,0.357503517,0.273,0.131,10,Slc1a5,,
1.10E-09,0.354486911,0.191,0.069,10,Tbrg1,,
8.24E-08,0.348950984,0.344,0.174,10,Mxd4,,
2.62E-07,0.345686732,0.284,0.142,10,Tm9sf3,,
5.39E-09,0.345105277,0.546,0.312,10,Ywhab,,
8.27E-07,0.344806755,0.18,0.077,10,Atraid,,
4.93E-11,0.342033376,0.798,0.491,10,Crip1,,
2.53E-11,0.341607601,0.169,0.052,10,Nr1d1,,
3.17E-10,0.336452638,0.437,0.216,10,Fkbp1a,,
5.62E-07,0.333934548,0.158,0.063,10,Gng12,,
6.18E-09,0.330615095,0.344,0.162,10,Zyx,,
6.02E-17,0.329107564,0.88,0.568,10,Fth1,,
2.13E-10,0.329012661,0.246,0.096,10,Cryab,,
3.20E-09,0.325721747,0.224,0.089,10,Tnfrsf1a,,
1.37E-06,0.32455113,0.35,0.194,10,Spcs1,,
2.23E-08,0.323236432,0.219,0.091,10,Fam195b,,
1.70E-06,0.320712699,0.169,0.072,10,2610001J05Rik,,
3.07E-08,0.317197208,0.169,0.063,10,Rabl6,,
3.97E-09,0.317152379,0.546,0.3,10,Tmem50a,,
4.85E-08,0.316636944,0.295,0.141,10,Rab1a,,
2.25E-07,0.316563859,0.175,0.07,10,Vapb,,
6.30E-07,0.31566148,0.186,0.079,10,Adprh,,
3.64E-07,0.313323897,0.191,0.081,10,Tpd52l2,,
3.12E-09,0.310991935,0.273,0.116,10,Celf2,,
4.28E-08,0.310570091,0.536,0.315,10,Lamp1,,
2.81E-06,0.301735019,0.208,0.098,10,Rab6a,,
2.39E-07,0.298361974,0.219,0.097,10,Tmem167,,
7.63E-07,0.297989881,0.481,0.291,10,Dnaja1,,
1.60E-08,0.297462707,0.208,0.082,10,Sh3bp5,,
2.20E-07,0.297037969,0.191,0.08,10,Blvrb,,
9.31E-08,0.292511242,0.497,0.299,10,Hspa1a,,
1.11E-06,0.291568954,0.251,0.121,10,Hexa,,
1.48E-07,0.288456088,0.306,0.149,10,Txndc17,,
1.14E-06,0.284327158,0.273,0.137,10,Tmed2,,
9.05E-14,0.28161036,0.262,0.089,10,Cav1,,
