p_val,avg_logFC,pct.1,pct.2,cluster,gene,,celltyppe
2.83E-33,0.854386983,0.319,0.179,3,Sell,,
1.67E-46,0.850449655,0.417,0.244,3,Pygl,,
1.13E-20,0.822392373,0.171,0.085,3,Abtb1,,
9.09E-34,0.821987982,0.33,0.19,3,R3hdm4,,
6.83E-52,0.821101433,0.569,0.419,3,H2-D1,,
1.60E-46,0.819157302,0.489,0.324,3,Fxyd5,,
6.01E-42,0.816455684,0.422,0.257,3,Zyx,,
1.14E-57,0.816148243,0.527,0.326,3,Mcemp1,,
2.97E-21,0.81263219,0.157,0.073,3,Fgr,,
3.46E-23,0.811321633,0.268,0.158,3,Gsr,,
4.17E-62,0.811220117,0.555,0.348,3,Lrg1,,
3.69E-24,0.806633785,0.183,0.087,3,Tpd52,,
2.40E-20,0.802153106,0.202,0.109,3,Selplg,,
4.87E-20,0.79129556,0.235,0.139,3,Adipor1,,
5.51E-21,0.789403938,0.22,0.123,3,Sat1,,
3.29E-42,0.78613613,0.516,0.374,3,Ifitm2,,
3.09E-32,0.773458612,0.398,0.262,3,Vasp,,
1.19E-26,0.767365071,0.363,0.244,3,Map1lc3b,,
6.43E-26,0.765053933,0.333,0.215,3,Fcgr3,,
4.10E-20,0.759512903,0.275,0.173,3,Gpsm3,,
3.74E-17,0.754678432,0.152,0.076,3,Mtus1,,
2.57E-19,0.754073811,0.182,0.095,3,Glipr2,,
2.70E-70,0.751046894,0.682,0.551,3,Taldo1,,
1.34E-13,0.73528255,0.152,0.085,3,Card19,,
1.43E-15,0.733998018,0.152,0.079,3,2310001H17Rik,,
1.12E-18,0.732386891,0.207,0.116,3,Mrgpra2b,,
2.03E-13,0.731993207,0.183,0.112,3,Mir142hg,,
8.27E-18,0.729804438,0.201,0.113,3,Hdc,,
9.14E-20,0.727379616,0.242,0.144,3,AB124611,,
2.48E-15,0.725859367,0.193,0.113,3,Dgat1,,
2.05E-17,0.720198074,0.189,0.105,3,Actn1,,
3.32E-43,0.712405728,0.551,0.401,3,mt-Rnr2,,
3.18E-36,0.710079869,0.497,0.364,3,Spi1,,
1.59E-15,0.706946982,0.157,0.083,3,Ptprc,,
1.20E-20,0.700198359,0.305,0.198,3,Ncf2,,
1.14E-32,0.695499233,0.45,0.313,3,Mgst1,,
5.35E-24,0.690212808,0.362,0.242,3,Rgs2,,
