overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,Exosc1,,Il1b,Lpcat4,,,,,,,Cby1,,Paip2,,Tipin,
,,Exosc5,,Il1rn,Lrrk1,,,,,,,Ccar1,,Patz1,,Tmed2,
,,F2r,,Ints6l,Ltb,,,,,,,Ccdc104,,Pdk1,,Tmpo,
,,F8a,,Irf5,Ly9,,,,,,,Ccdc28b,,Pdlim1,,Top2a,
,,Fam111a,,Irf8,Mapre2,,,,,,,Ccnl2,,Pik3ip1,,Tpx2,
,,Fam113b,,Itgam,Ms4a4b,,,,,,,Cct2,,Ppp2ca,,Trim59,
,,Fam173a,,Jchain,Ms4a6b,,,,,,,Cct3,,Ppp2r5c,,Tuba1b,
,,Fam46c,,Jun,Myl12b,,,,,,,Cct5,,Pppde2,,Tubb4b,
,,Fam58b,,Kctd12,Myl6,,,,,,,Cct7,,Prkcb,,Tyms,
,,Filip1l,,Kif3a,Myo1f,,,,,,,Cct8,,Prkcq,,Ubb,
,,Fkbp3,,Lamp2,Nkg7,,,,,,,Cd1d1,,Prkd2,,Ube2c,
,,Fnbp1,,Lamtor4,Pbxip1,,,,,,,Cd24a,,Prps2,,Ube2t,
,,Frmd8,,Lilrb4a,Pde2a,,,,,,,Cd47,,Prrc2c,,,
,,Fuca2,,Lims1,Pde3b,,,,,,,Cd96,,Psma6,,,
,,Gata3,,Lmo2,Pitpnc1,,,,,,,Cdc123,,Pycard,,,
,,Gbp2,,Lst1,Pkp3,,,,,,,Cdc16,,Raly,,,
,,Gbp7,,Lyz2,Pla2g16,,,,,,,Cdc26,,Ramp1,,,
,,Gem,,Man2b1,Polr2e,,,,,,,Cdk2,,Rasgrp1,,,
,,Gimap7,,Mapk14,Ppp1r18,,,,,,,Cdv3,,Rcbtb2,,,
,,Gm12250,,Mecp2,Psen2,,,,,,,Celf1,,Rcsd1,,,
,,Gm14446,,Med11,Psme2,,,,,,,Cenpe,,Rgs10,,,
,,Gm2382,,Mettl3,Ptpn18,,,,,,,Cenpk,,Rhoh,,,
,,Gm5148,,Mfsd11,Pydc3,,,,,,,Cerk,,Rnf167,,,
,,Gm6548,,Mia3,Rgs3,,,,,,,Chchd2,,Rps6kb1,,,
,,Gnb2l1,,Mmp9,Rhof,,,,,,,Chchd3,,Rtn3,,,
,,Gnpat,,Mndal,Rpl10,,,,,,,Chd4,,Sash3,,,
,,Golm1,,Mpeg1,Rpl10a,,,,,,,Chordc1,,Sept1,,,
,,Gpaa1,,Msrb1,Rpl12,,,,,,,Churc1,,Sept6,,,
,,Gpr18,,Mtdh,Rpl13,,,,,,,Cisd2,,Sh2d1a,,,
,,Gpr183,,Mtmr14,Rpl13a,,,,,,,Clk1,,Sh3kbp1,,,
,,Gpr68,,Myadm,Rpl14,,,,,,,Cmpk1,,Sin3b,,,
,,Gramd3,,Mzb1,Rpl17,,,,,,,Cmtm7,,Sit1,,,
,,Gstp1,,Naaa,Rpl18,,,,,,,Cnih,,Skap1,,,
,,H2-Ke6,,Napsa,Rpl18a,,,,,,,Cnn3,,Skp1a,,,
,,H2-M3,,Ncf2,Rpl19,,,,,,,Cnot2,,Sla2,,,
,,H2-Q6,,Nfam1,Rpl21,,,,,,,Cnot8,,Slc25a5,,,
,,H2-Q8,,Ninj1,Rpl22,,,,,,,Cnp,,Smarca4,,,
,,Hdgfrp2,,Nsun4,Rpl22l1,,,,,,,Commd1,,Smarcc1,,,
,,Hint1,,Nudt8,Rpl23,,,,,,,Copb1,,Smarcd2,,,
,,Hopx,,Nxpe3,Rpl23a,,,,,,,Cope,,Spint2,,,
,,Hsp90b1,,P2ry14,Rpl27,,,,,,,Cops3,,Srsf1,,,
,,Hspbp1,,Pla2g7,Rpl27a,,,,,,,Cox5a,,Ssbp2,,,
,,I830012O16Rik,,Plac8,Rpl3,,,,,,,Cox6b1,,Ssbp3,,,
,,Ide,,Plbd1,Rpl32,,,,,,,Cox6c,,Stat5b,,,
,,Ifi35,,Pld4,Rpl35,,,,,,,Cox7a2,,Strbp,,,
,,Ifi47,,Pltp,Rpl36,,,,,,,Cpsf3l,,Stx6,,,
,,Ifit3,,Pmpcb,Rpl36a,,,,,,,Cry1,,Supt4h1,,,
,,Ifnar2,,Pnpla7,Rpl37,,,,,,,Csnk2b,,Tapt1,,,
,,Ifngr1,,Pnrc1,Rpl37a,,,,,,,Ctbp1,,Tbxa2r,,,
,,Il10ra,,Ppfia4,Rpl38,,,,,,,Ctsl,,Tcf12,,,
,,Il12rb2,,Ppib,Rpl39,,,,,,,Cwc15,,Tcf7,,,
,,Irf1,,Ppm1m,Rpl4,,,,,,,Cyth2,,Tia1,,,
,,Irf7,,Prg2,Rpl41,,,,,,,D2Ertd750e,,Tmem66,,,
,,Irf9,,Prkcd,Rpl6,,,,,,,D4Wsu53e,,Tnrc6b,,,
,,Iscu,,Psap,Rpl8,,,,,,,D8Ertd738e,,Top1,,,
,,Isg20,,Pygl,Rpl9,,,,,,,Dars,,Tox,,,
,,Itgb1,,Rab24,Rplp1,,,,,,,Dazap1,,Traf3ip3,,,
,,Itgb2,,Rab32,Rplp2,,,,,,,Dbf4,,Trim28,,,
,,Itm2b,,Rac1,Rps10,,,,,,,Dbi,,Trpc4ap,,,
,,Jak3,,Rasgrp4,Rps12,,,,,,,Dctn3,,Tsc22d4,,,
,,Katna1,,Rgs18,Rps13,,,,,,,Dda1,,Ttc3,,,
,,Kbtbd11,,Rhog,Rps14,,,,,,,Ddit4,,Ube2d3,,,
,,Klf6,,Rnase6,Rps15,,,,,,,Ddx39,,Ube2i,,,
,,Klhdc2,,Rnf130,Rps15a,,,,,,,Ddx39b,,Uck2,,,
,,Klrc1,,Rpl36-ps2,Rps15a-ps6,,,,,,,Ddx46,,Wapal,,,
,,Klrc2,,Rpl37rt,Rps16,,,,,,,Ddx47,,Wdr12,,,
,,Kti12,,Rps11-ps1,Rps18,,,,,,,Ddx5,,Xrcc6,,,
,,Lamtor2,,Rps16-ps2,Rps19,,,,,,,Ddx54,,Ywhah,,,
,,Lass2,,Rps26-ps1,Rps2,,,,,,,Deb1,,Zfp207,,,
,,Lass4,,S100a8,Rps20,,,,,,,Dera,,Zfp422,,,
,,Lgals1,,S100a9,Rps21,,,,,,,Dgcr6,,,,,
,,Lgals3bp,,Samm50,Rps23,,,,,,,Dgkz,,,,,
,,Lpxn,,Serp1,Rps24,,,,,,,Dhfr,,,,,
,,Ly6e,,Serpinb1a,Rps25,,,,,,,Dhx15,,,,,
,,Lypla2,,Sgk3,Rps27,,,,,,,Dld,,,,,
,,Maf,,Siglecf,Rps27a,,,,,,,Dnaja1,,,,,
,,Man2b2,,Sirpa,Rps28,,,,,,,Dnajb1,,,,,
,,Med10,,Skap2,Rps29,,,,,,,Dnajc3,,,,,
,,Mir682,,Slc12a9,Rps3,,,,,,,Dnajc9,,,,,
,,Mrpl13,,Slpi,Rps4x,,,,,,,Dohh,,,,,
,,Mrpl33,,Snrnp40,Rps5,,,,,,,Dpysl2,,,,,
,,Mrpl48,,Sp100,Rps6,,,,,,,Drg1,,,,,
,,Mta3,,Spi1,Rps7,,,,,,,Dtymk,,,,,
,,Mthfs,,Spns1,Rps8,,,,,,,Dusp10,,,,,
,,Mvp,,Ssr4,Rps9,,,,,,,Dut,,,,,
,,Myc,,St8sia4,Rpsa,,,,,,,Dynll1,,,,,
,,Mycbp2,,Stt3a,Runx3,,,,,,,Dynlrb1,,,,,
,,Mylip,,Stx7,S100a10,,,,,,,Dynlt1f,,,,,
,,Myo1g,,Suclg2,S100a4,,,,,,,E2f2,,,,,
,,Myo6,,Tcf4,S1pr4,,,,,,,Eci2,,,,,
,,Nagpa,,Tgfbi,Samd3,,,,,,,Eif1,,,,,
,,Nck1,,Timm10b,Samsn1,,,,,,,Eif1ax,,,,,
,,Ncstn,,Tmed3,Sema4a,,,,,,,Eif1b,,,,,
,,Ndfip1,,Tmem154,Serinc3,,,,,,,Eif2a,,,,,
,,Ndufa4,,Tmem167,Sh2d3c,,,,,,,Eif2b1,,,,,
,,Nhp2,,Tmem35b,Sh3bgrl3,,,,,,,Eif3a,,,,,
,,Nlrc5,,Tmem55b,Shisa5,,,,,,,Eif3c,,,,,
,,Nmi,,Tpd52,Slamf7,,,,,,,Eif3d,,,,,
,,Nop10,,Trappc5,Smpdl3a,,,,,,,Eif3l,,,,,
,,Nop56,,Txnip,St3gal6,,,,,,,Eif3m,,,,,
,,Notch2,,Tyrobp,Tagln2,,,,,,,Eif4a1,,,,,
,,Npm1,,Ubap2l,Tmem149,,,,,,,Eif4a3,,,,,
,,Nucb1,,Ubc,Tmsb10,,,,,,,Eif4e2,,,,,
,,Osbpl3,,Ubxn2a,Tnfaip8l2,,,,,,,Eif4g2,,,,,
