"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tpd52",1.29315513042089e-43,0.624070865830396,0.349,0.127,3.0183533899154e-39,"3","Tpd52"
"Rbm31",2.78518248877277e-43,0.507422609932734,0.831,0.713,6.50089444704453e-39,"3","Rbm3"
"Mll5",1.02526122265081e-42,0.660751754864608,0.59,0.36,2.39306221978926e-38,"3","Mll5"
"Lbh1",4.90985604579801e-42,0.631182978097248,0.304,0.102,1.14600949964971e-37,"3","Lbh"
"Eef1b23",5.81297500852007e-42,0.422770557686457,0.907,0.777,1.35680649673867e-37,"3","Eef1b2"
"Tfam",1.12970893847442e-41,0.572469068053583,0.269,0.082,2.63685363329313e-37,"3","Tfam"
"Gramd31",4.04897863880662e-40,0.573488663847728,0.336,0.127,9.45072104083854e-36,"3","Gramd3"
"Vars",1.3752103168101e-39,0.543615974619727,0.265,0.082,3.20987840046646e-35,"3","Vars"
"Supt4h12",8.17115413014981e-39,0.634164501250012,0.497,0.277,1.90722908551827e-34,"3","Supt4h1"
"Gltscr22",2.19169655803966e-38,0.499413460557141,0.811,0.7,5.11563893612038e-34,"3","Gltscr2"
"Cerk",2.21222457950526e-38,0.602953141396147,0.315,0.118,5.16355339102323e-34,"3","Cerk"
"Cd55",1.11347045658023e-36,0.581353085201106,0.364,0.154,2.59895139270393e-32,"3","Cd55"
"Pold41",3.62978350930757e-36,0.713151408463498,0.46,0.257,8.47227768907481e-32,"3","Pold4"
"Grk61",1.30210526652617e-35,0.596937948959316,0.275,0.095,3.03924390259873e-31,"3","Grk6"
"Sept11",3.90049102733942e-35,0.539861462946396,0.332,0.13,9.10413610691294e-31,"3","Sept1"
"Xist1",7.48973359774439e-35,0.530555948542347,0.852,0.852,1.74817871904952e-30,"3","Xist"
"Polr2e",1.75387367602836e-34,0.580115316092914,0.451,0.241,4.09371654721779e-30,"3","Polr2e"
"Psmb83",1.81657610939519e-34,0.432400301194459,0.638,0.383,4.24007029693932e-30,"3","Psmb8"
"Npm12",1.49158015079247e-33,0.453928592998243,0.859,0.753,3.4814972299647e-29,"3","Npm1"
"Hmgn21",1.94925893739316e-33,0.70477010326223,0.514,0.334,4.54976528576937e-29,"3","Hmgn2"
"Rpl7a2",2.03857168812763e-33,0.338962069435599,0.97,0.901,4.7582301772587e-29,"3","Rpl7a"
"Crlf31",2.47059863788218e-33,0.555907026939594,0.267,0.096,5.76662428068081e-29,"3","Crlf3"
"Unc93b1",3.82334217987382e-33,0.518775739052287,0.393,0.181,8.92406298204349e-29,"3","Unc93b1"
"Snrpe1",7.60099079846259e-33,0.531796326950097,0.631,0.467,1.77414726226915e-28,"3","Snrpe"
"Ccdc721",8.41345504547444e-33,0.474207093412429,0.698,0.558,1.96378454216419e-28,"3","Ccdc72"
"Mif1",1.33921165928388e-32,0.646465137894423,0.636,0.478,3.12585393393451e-28,"3","Mif"
"Ubl5",7.56020443133067e-32,0.528198341358989,0.716,0.606,1.76462731631689e-27,"3","Ubl5"
"Slfn2",9.02034220907521e-32,0.538259985640463,0.416,0.197,2.10543807502024e-27,"3","Slfn2"
"Rcc2",1.42963891942451e-31,0.549451434800988,0.267,0.1,3.33692020182874e-27,"3","Rcc2"
"Naca3",2.71823444749551e-30,0.318252056022303,0.954,0.878,6.34463102389928e-26,"3","Naca"
"Rpl31-ps123",1.15791960594078e-29,0.390988510066486,0.822,0.732,2.70270015222637e-25,"3","Rpl31-ps12"
"Tsc22d31",1.40780053076865e-29,0.437287641532621,0.716,0.507,3.2859472188671e-25,"3","Tsc22d3"
"Tmem1231",9.4372762041469e-29,0.559808628470791,0.57,0.394,2.20275463880993e-24,"3","Tmem123"
"4930420K17Rik",1.8290311628964e-28,0.493603318443037,0.286,0.117,4.26914163731649e-24,"3","4930420K17Rik"
"Btf31",2.42871206438602e-28,0.323083931479961,0.92,0.898,5.6688568294834e-24,"3","Btf3"
"Traf41",4.53541439097437e-28,0.541062126322861,0.286,0.119,1.05861107299733e-23,"3","Traf4"
"Wdr893",5.34480379797306e-28,0.560983151512847,0.512,0.346,1.24753065448489e-23,"3","Wdr89"
"Tgfb12",7.27238711085625e-28,0.559060718447853,0.56,0.36,1.69744787554496e-23,"3","Tgfb1"
"Mir7033",2.07428208021457e-27,0.535330140216003,0.577,0.438,4.84158180342883e-23,"3","Mir703"
"Ptp4a31",2.26335557409598e-27,0.40062290970488,0.445,0.229,5.28289824549742e-23,"3","Ptp4a3"
"Gpcpd1",3.05468919179015e-27,0.515227603642826,0.323,0.149,7.1299500425574e-23,"3","Gpcpd1"
"Ucp22",1.1359847580174e-26,0.465293054127949,0.471,0.252,2.65150202368841e-22,"3","Ucp2"
"Pfdn52",2.13674588635976e-26,0.338136890776232,0.907,0.829,4.98737857335231e-22,"3","Pfdn5"
"Dennd4a",3.08191817087636e-26,0.541140365293399,0.293,0.13,7.19350520264251e-22,"3","Dennd4a"
"Nap1l11",3.43703832621969e-26,0.58356620654665,0.564,0.438,8.02239115722939e-22,"3","Nap1l1"
"Dad1",3.69507175089362e-26,0.465874917261364,0.761,0.673,8.6246669737608e-22,"3","Dad1"
