overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18
,,Cldn1,,,Gpr124,,,Ltbp3,,,Akr7a5,,,Hes1,,,
,,Clec14a,,,Gpr153,,,Ltbp4,,,Aktip,,,Hif1a,,,
,,Clip3,,,Gpr180,,,Lum,,,Alad,,,Hilpda,,,
,,Cln5,,,Gpsm3,,,Ly6a,,,Aldh16a1,,,Hint2,,,
,,Cntln,,,Gpx1,,,Ly6c1,,,Aldh1a1,,,Hip1r,,,
,,Col23a1,,,Gpx8,,,Maged1,,,Aldh3a2,,,Hmgn1,,,
,,Copa,,,Gramd1a,,,Manf,,,Aldh4a1,,,Hmox1,,,
,,Copb1,,,Grasp,,,Map1lc3a,,,Aldh5a1,,,Hnrnpab,,,
,,Coq10a,,,Grn,,,Matn2,,,Aldh9a1,,,Homer2,,,
,,Cplx2,,,Gsk3a,,,Mdk,,,Aldoa,,,Hpgd,,,
,,Cpt1c,,,Gstm5,,,Meg3,,,Alg11,,,Hras1,,,
,,Creb3l2,,,H13,,,Mettl7a1,,,Alg9,,,Hs3st1,,,
,,Creb5,,,H2-Q4,,,Mfap2,,,Alkbh1,,,Hsd17b14,,,
,,Crtc3,,,H2afy2,,,Mfap4,,,Alkbh6,,,Hspa4,,,
,,Csdc2,,,H47,,,Mfap5,,,Alox12,,,Hspa9,,,
,,Csnk1g1,,,H6pd,,,Mgll,,,Amdhd2,,,Htatip2,,,
,,Ctdnep1,,,Has1,,,Mgp,,,Amfr,,,Id1,,,
,,Ctdspl,,,Hdlbp,,,Mmp14,,,Ammecr1l,,,Id2,,,
,,Ctdspl2,,,Herpud1,,,Mmp19,,,Anapc7,,,Ikzf2,,,
,,Ctgf,,,Hexa,,,Mmp2,,,Ang,,,Il17rc,,,
,,Ctsa,,,Hk2,,,Mmp23,,,Ank,,,Il33,,,
,,Cttnbp2nl,,,Hmgn2,,,Morf4l2,,,Ankhd1,,,Ildr1,,,
,,Cul7,,,Hn1,,,Mpzl1,,,Ankle2,,,Ipmk,,,
,,Cxcl1,,,Hoxa11as,,,Mrc2,,,Ankrd13a,,,Irak2,,,
,,Cxx1a,,,Hpcal1,,,Ms4a4d,,,Ankrd13c,,,Irf6,,,
,,Cxx1b,,,Hpse,,,Mxd4,,,Ankrd40,,,Itga3,,,
,,Cyp20a1,,,Hsd17b11,,,Mxra7,,,Ankrd44,,,Itga6,,,
,,Cyp2d22,,,Hspa8,,,Mxra8,,,Ankrd49,,,Itgb4,,,
,,Cys1,,,Hsph1,,,Myadm,,,Anxa7,,,Itpr1,,,
,,Cyth3,,,Hyi,,,Myh10,,,Ap1ar,,,Ivns1abp,,,
,,D0H4S114,,,Icam1,,,Myl6,,,Ap1b1,,,Jag1,,,
,,D14Ertd668e,,,Idh2,,,Mylk,,,Ap1g1,,,Kbtbd11,,,
,,D18Ertd653e,,,Ier2,,,Naalad2,,,Ap1g2,,,Kcnn4,,,
,,D630045J12Rik,,,Ier3ip1,,,Nav1,,,Ap1s1,,,Kdm5b,,,
,,D6Wsu116e,,,Ifi27l1,,,Nbl1,,,Ap3b1,,,Klf5,,,
,,Dact3,,,Ifnar2,,,Ndn,,,Ap3m1,,,Klf6,,,
,,Dag1,,,Ifrd1,,,Nedd4,,,Apeh,,,Krt23,,,
,,Dcakd,,,Ift27,,,Nenf,,,Apex1,,,Krt4,,,
,,Dcbld2,,,Iigp1,,,Nfib,,,Api5,,,Krtcap3,,,
,,Dchs1,,,Ikbip,,,Nfix,,,Apoa1bp,,,Lama5,,,
,,Dclk1,,,Il1r1,,,Nid1,,,Apobec3,,,Lamb3,,,
,,Dctn5,,,Il4ra,,,Nkain4,,,Apoo,,,Lamc2,,,
,,Dcun1d3,,,Il6,,,Nkd1,,,Apool,,,Larp1,,,
,,Ddhd2,,,Impact,,,Notum,,,Appbp2,,,Las1l,,,
,,Ddx3x,,,Irf1,,,Npc2,,,Aptx,,,Lasp1,,,
,,Ddx58,,,Irf8,,,Npdc1,,,Arf3,,,Lass3,,,
,,Dennd1a,,,Irf9,,,Npy1r,,,Arf6,,,Ldlr,,,
,,Dennd2a,,,Irgm1,,,Nr3c1,,,Arfgap2,,,Lima1,,,
,,Dennd4a,,,Isca1,,,Nupr1,,,Arg2,,,Llgl2,,,
,,Dexi,,,Itga5,,,Oaf,,,Arglu1,,,Llph,,,
,,Dirc2,,,Itgb5,,,Oat,,,Arhgap1,,,Lmo7,,,
,,Dlc1,,,Itpkc,,,Ogn,,,Arhgap12,,,Lphn2,,,
,,Dmpk,,,Jak1,,,Olfml3,,,Arhgap18,,,Lpin2,,,
,,Dmwd,,,Jam3,,,Osr1,,,Arhgap21,,,Lrrc8a,,,
,,Dnajc18,,,Jkamp,,,Ostc,,,Arhgap26,,,Lrrfip1,,,
,,Dnalc4,,,Jund,,,Oxct1,,,Arhgap27,,,Lsm6,,,
,,Dnm3os,,,Kcnk2,,,P4ha1,,,Arhgap32,,,Lsmd1,,,
,,Dock10,,,Kdelc2,,,Palld,,,Arhgap40,,,Ly6k,,,
,,Dopey1,,,Kdelr1,,,Palm,,,Arhgap42,,,M6pr,,,
,,Dpagt1,,,Kdelr2,,,Pam,,,Arhgap5,,,Mal2,,,
,,Dpp7,,,Kdm6b,,,Pamr1,,,Arhgef10l,,,Map3k5,,,
,,Dpp9,,,Klf2,,,Parva,,,Arhgef16,,,Mapk1,,,
,,Dpy19l1,,,Klf9,,,Pbx1,,,Arhgef18,,,Mapkapk3,,,
,,Dsel,,,Klhdc2,,,Pcolce,,,Arhgef7,,,Marcks,,,
,,Dtnbp1,,,Krtcap2,,,Pdgfra,,,Arih2,,,Mark2,,,
,,Dtx3l,,,Lamb2,,,Pdia6,,,Arl2,,,Marveld2,,,
,,Dtx4,,,Lepr,,,Pdlim2,,,Arl2bp,,,Mast4,,,
,,Dusp23,,,Lepre1,,,Pdpn,,,Arl6ip6,,,Mbnl2,,,
,,Dusp3,,,Leprel2,,,Pi16,,,Armc10,,,Mbp,,,
,,Dusp8,,,Leprel4,,,Pid1,,,Arpc1b,,,Mcart1,,,
,,Dync1h1,,,Leprot,,,Pitx1,,,Arpc2,,,Mdfi,,,
,,Dync2h1,,,Lifr,,,Pitx2,,,Arpc3,,,Mecom,,,
,,Dync2li1,,,Lipa,,,Pkd2,,,Arpc5,,,Mgat4a,,,
,,Dzip1,,,Litaf,,,Plac8,,,Arpc5l,,,Mgat4b,,,
,,E430025E21Rik,,,Lix1l,,,Plekho2,,,Arrdc1,,,Micall1,,,
,,Ecm2,,,Lman1,,,Plod1,,,Artn,,,Mmp15,,,
,,Edem1,,,Lphn1,,,Plscr4,,,Asah1,,,Mob4,,,
,,Edil3,,,Lrpap1,,,Pltp,,,Asb6,,,Mpst,,,
,,Ednra,,,Lrrc58,,,Plxdc2,,,Asb8,,,Mreg,,,
,,Ednrb,,,Lysmd3,,,Pmp22,,,Ascc1,,,Mrp63,,,
,,Eea1,,,Maged2,,,Podn,,,Ascc2,,,Mrpl14,,,
,,Egln1,,,Malat1,,,Pofut2,,,Asf1a,,,Mrpl52,,,
,,Ehbp1,,,Map1lc3b,,,Ppic,,,Ash2l,,,Mrpl54,,,
,,Ehbp1l1,,,Map3k8,,,Ppp1r14a,,,Asl,,,Mrps18b,,,
,,Ehd1,,,Mbnl1,,,Prdm6,,,Asnsd1,,,Msi2,,,
,,Eif2ak2,,,Mcfd2,,,Prdx4,,,Asph,,,Msx2,,,
,,Eif2ak3,,,Meis2,,,Prelp,,,Ass1,,,Mtus1,,,
,,Eif4e3,,,Mesdc2,,,Prex2,,,Atad1,,,Myeov2,,,
,,Eif4g3,,,Metrnl,,,Prkcdbp,,,Atad3a,,,Myo1e,,,
,,Elf2,,,Mfge8,,,Prnp,,,Ate1,,,Myzap,,,
,,Elk3,,,Midn,,,Prss35,,,Atf1,,,Naa38,,,
,,Elmo2,,,Mob3c,,,Ptges,,,Atg12,,,Naa50,,,
,,Emilin2,,,Morf4l1,,,Ptgis,,,Atg13,,,Naca,,,
,,Eno2,,,Moxd1,,,Ptms,,,Atg14,,,Ndufa2,,,
,,Enpp3,,,Mpv17,,,Qsox1,,,Atg4b,,,Ndufa3,,,
,,Entpd1,,,Mrfap1,,,Rab34,,,Atg4d,,,Ndufa6,,,
,,Ep400,,,Msn,,,Ramp2,,,Atg7,,,Ndufa7,,,
,,Epdr1,,,Mt1,,,Rarres2,,,Atmin,,,Neat1,,,
,,Ephb4,,,Mt2,,,Rasl11b,,,Atp10b,,,Nedd4l,,,
,,Erap1,,,Mtap7d1,,,Rbp1,,,Atp10d,,,Net1,,,
,,Erc1,,,Mtch1,,,Rbp4,,,Atp11b,,,Nfe2l1,,,
,,Ereg,,,Mustn1,,,Rcn1,,,Atp11c,,,Nfe2l2,,,
,,Esyt1,,,Myc,,,Rcn2,,,Atp13a1,,,Nhp2,,,
,,Etv1,,,Myd88,,,Rcn3,,,Atp13a2,,,Nipal4,,,
,,Evc,,,Myl9,,,Rerg,,,Atp2c1,,,Notch1,,,
,,Evc2,,,Mylip,,,Rhoc,,,Atp5b,,,Npepps,,,
,,Extl2,,,Mzt2,,,Rhoj,,,Atp5d,,,Nqo1,,,
,,Extl3,,,Naglu,,,Rnase4,,,Atp5f1,,,Nrip1,,,
,,Fads3,,,Nap1l1,,,Rpa1,,,Atp5g1,,,Nrn1,,,
,,Fam111a,,,Nasp,,,S100a10,,,Atp5h,,,Nsa2,,,
,,Fam113a,,,Ndel1,,,S100a13,,,Atp5j,,,Nudt14,,,
,,Fam115a,,,Ndufa4l2,,,Samhd1,,,Atp5j2,,,Obfc1,,,
,,Fam123b,,,Neo1,,,Sar1a,,,Atp5o,,,Obfc2a,,,
,,Fam124a,,,Nfia,,,Scara5,,,Atp5s,,,Ocln,,,
,,Fam129a,,,Nfic,,,Scd1,,,Atp6v0a1,,,Optn,,,
,,Fam160b1,,,Nfil3,,,Scpep1,,,Atp6v0c,,,Osbpl3,,,
,,Fam165b,,,Nfkbia,,,Sdc2,,,Atp6v1a,,,Ovol1,,,
,,Fam168a,,,Nfkbiz,,,Sec24d,,,Atp6v1b2,,,Pacsin3,,,
,,Fam171b,,,Nhp2l1,,,Sec31a,,,Atp6v1c1,,,Padi4,,,
,,Fam178a,,,Nme2,,,Sec61g,,,Atp6v1d,,,Pard3,,,
,,Fam188b,,,Nop58,,,Sec62,,,Atp6v1e1,,,Pard6b,,,
,,Fam189b,,,Nptn,,,Selenbp1,,,Atp6v1f,,,Pard6g,,,
,,Fam20a,,,Nr2f2,,,Sema3c,,,Atp6v1h,,,Pcdh1,,,
,,Fam26e,,,Nr4a1,,,Sept7,,,Atp9a,,,Pdcd4,,,
,,Fam38b,,,Nr4a2,,,Serpina3n,,,Atpbd4,,,Pde4d,,,
,,Fam3a,,,Nsmce1,,,Serpinb6a,,,Atxn1l,,,Pdk4,,,
,,Fam46a,,,Ntan1,,,Serpinf1,,,Atxn3,,,Pdlim1,,,
,,Fam46c,,,Ntn1,,,Serping1,,,Atxn7,,,Pfdn5,,,
,,Fam49a,,,Nucb1,,,Serpinh1,,,Auh,,,Pfkfb2,,,
,,Fam65a,,,Nucb2,,,Sft2d2,,,Aup1,,,Pgap1,,,
,,Fam69a,,,Numbl,,,Sgce,,,Aurkaip1,,,Pgd,,,
,,Fam69b,,,Oaz2,,,Sigmar1,,,Auts2,,,Phf17,,,
,,Fam76a,,,Odc1,,,Ski,,,Avl9,,,Pigyl,,,
,,Fam89b,,,Odz3,,,Slc16a2,,,Axin1,,,Pkm2,,,
,,Fancc,,,Olfm1,,,Slc25a4,,,Azi2,,,Pkp3,,,
,,Farp1,,,Olfml1,,,Slc43a3,,,B3galnt2,,,Plaur,,,
,,Fas,,,Os9,,,Slc7a8,,,B3gnt2,,,Plch2,,,
,,Fastk,,,Ost4,,,Smoc2,,,B430010I23Rik,,,Plekhb2,,,
,,Fbxo25,,,P4hb,,,Smpdl3a,,,B4galt3,,,Plekhg3,,,
,,Fbxo32,,,Pappa,,,Socs3,,,B4galt4,,,Plekhg6,,,
,,Fech,,,Pard3b,,,Sod3,,,B630005N14Rik,,,Plin2,,,
,,Fert2,,,Pcdh7,,,Sparc,,,BC003266,,,Plk3,,,
,,Fez2,,,Pcf11,,,Sparcl1,,,BC003965,,,Plxnb1,,,
,,Filip1,,,Pde12,,,Spats2l,,,BC005561,,,Pmaip1,,,
,,Filip1l,,,Pde4b,,,Spcs1,,,BC016579,,,Pof1b,,,
,,Fli1,,,Pde5a,,,Spon1,,,BC017647,,,Polr1d,,,
,,Flnc,,,Pde6d,,,Spon2,,,BC026585,,,Pon2,,,
,,Flrt2,,,Pdgfrb,,,Srpx,,,BC031181,,,Por,,,
,,Flywch1,,,Pdgfrl,,,Ssr3,,,BC064078,,,Ppap2c,,,
,,Fmod,,,Pdia3,,,Steap3,,,Bag1,,,Ppard,,,
,,Fndc4,,,Pdlim7,,,Surf4,,,Bag2,,,Pparg,,,
,,Fndc5,,,Pdzrn3,,,Svep1,,,Bag4,,,Ppargc1a,,,
,,Fnip1,,,Peli2,,,Tagln,,,Bag5,,,Ppl,,,
,,Foxf1a,,,Per1,,,Tapbp,,,Baiap2,,,Ppm1h,,,
,,Foxf2,,,Pgcp,,,Tbx3,,,Bap1,,,Ppp1cb,,,
,,Foxj2,,,Pgm5,,,Tceal8,,,Baz1a,,,Ppp1r14b,,,
,,Foxl1,,,Phldb1,,,Tcf21,,,Baz2a,,,Prkaa2,,,
,,Foxo3,,,Phpt1,,,Tcf4,,,Bbox1,,,Prom2,,,
,,Frem1,,,Pim1,,,Tfpi,,,Bcap29,,,Prr13,,,
,,Ftsj1,,,Pink1,,,Tgfb1i1,,,Bcap31,,,Prss22,,,
,,Fut11,,,Pja1,,,Tgfb3,,,Bcar1,,,Prss8,,,
,,Fut8,,,Pkd1,,,Tgfbi,,,Bcas2,,,Ptk2b,,,
,,Fxc1,,,Pla2g16,,,Tgfbr3,,,Bckdha,,,Ptp4a2,,,
,,Fyn,,,Plagl1,,,Tgm2,,,Bckdhb,,,Ptplb,,,
,,Fzd2,,,Plbd2,,,Thbd,,,Bcl10,,,Ptpn13,,,
,,Gab2,,,Pld3,,,Thbs1,,,Bcl2l1,,,Ptpru,,,
,,Galns,,,Plk2,,,Thbs2,,,Bcl2l13,,,Pts,,,
,,Galnt10,,,Pnp,,,Thsd4,,,Bcl2l14,,,Purb,,,
,,Galt,,,Pnrc1,,,Thy1,,,Bcl3,,,Pvrl1,,,
,,Gamt,,,Podxl2,,,Timp1,,,Bcl6,,,Pvrl2,,,
,,Gba,,,Polr3gl,,,Timp2,,,Bcl7a,,,Pvrl4,,,
,,Gbf1,,,Ppap2a,,,Timp3,,,Bdh1,,,Pygb,,,
,,Gbp3,,,Ppapdc1b,,,Tiprl,,,Bdp1,,,Rab10,,,
,,Gbp6,,,Ppfibp1,,,Tm2d2,,,Becn1,,,Rab11fip1,,,
,,Gcnt2,,,Ppib,,,Tmed3,,,Bhlhb9,,,Rad23b,,,
,,Gjc1,,,Ppp1r10,,,Tmem119,,,Bik,,,Rai14,,,
,,Gjc2,,,Ppp1r15a,,,Tmem140,,,Bin1,,,Ralgds,,,
,,Gkap1,,,Ppp1r18,,,Tmem158,,,Bin3,,,Rap2b,,,
,,Gla,,,Ppp1r2,,,Tmem167,,,Blcap,,,Rasef,,,
,,Glb1,,,Praf2,,,Tmem176a,,,Bloc1s2,,,Rbm47,,,
,,Glb1l,,,Prdm1,,,Tmem176b,,,Blvra,,,Rcc2,,,
,,Glg1,,,Prkca,,,Tmem45a,,,Blvrb,,,Reep3,,,
,,Gli2,,,Prkce,,,Tmem98,,,Blzf1,,,Reep5,,,
,,Gli3,,,Pros1,,,Tmsb10,,,Bmi1,,,Reep6,,,
,,Glrx,,,Prpsap1,,,Tnc,,,Bmp7,,,Ripk4,,,
,,Glt8d2,,,Prrx2,,,Tnfsf12,,,Bod1,,,Rnf144b,,,
,,Gm11818,,,Ptgs2,,,Tnxb,,,Bok,,,Rnf4,,,
,,Gm12824,,,Ptk7,,,Tpm4,,,Bop1,,,Rod1,,,
,,Gm14005,,,Ptov1,,,Tpst1,,,Bphl,,,Rpia,,,
,,Gm15800,,,Ptpra,,,Tsc22d1,,,Bpnt1,,,Rpl10a,,,
,,Gm16517,,,Ptrf,,,Tslp,,,Brap,,,Rpl11,,,
,,Gm20199,,,Qpct,,,Tspan18,,,Brcc3,,,Rpl12,,,
,,Gm6548,,,Rab28,,,Tspan4,,,Brd1,,,Rpl13,,,
,,Gm6981,,,Rab2a,,,Tuba1a,,,Brd4,,,Rpl13a,,,
,,Gm9766,,,Rab4b,,,Tuba1b,,,Brd7,,,Rpl17,,,
,,Gmppa,,,Rabac1,,,Tubb6,,,Brd8,,,Rpl18,,,
,,Gnb5,,,Rad51l1,,,Twist2,,,Bre,,,Rpl18a,,,
,,Gng11,,,Ramp1,,,Twsg1,,,Bri3,,,Rpl19,,,
,,Gnpda2,,,Rap1a,,,Txndc5,,,Bri3bp,,,Rpl21,,,
,,Gns,,,Rap1b,,,Vat1,,,Brix1,,,Rpl22,,,
,,Golga3,,,Rasl11a,,,Vcam1,,,Brms1,,,Rpl23,,,
,,Golt1b,,,Rassf1,,,Vcan,,,Brp44,,,Rpl23a,,,
,,Gpc1,,,Rbfox2,,,Vim,,,Brpf1,,,Rpl24,,,
,,Gpc4,,,Rbms3,,,Vkorc1,,,Bsdc1,,,Rpl27,,,
,,Gpcpd1,,,Rdx,,,Wfdc1,,,Bsg,,,Rpl27a,,,
,,Gpr133,,,Rev3l,,,Wnt2,,,Bspry,,,Rpl28,,,
,,Gpr77,,,Rexo2,,,Xdh,,,Btaf1,,,Rpl3,,,
,,Gramd4,,,Rftn2,,,Yif1b,,,Btbd1,,,Rpl31,,,
,,Grb10,,,Rgl1,,,Yipf5,,,Btbd10,,,Rpl32,,,
,,Gria3,,,Rgs2,,,,,,Btbd11,,,Rpl34-ps1,,,
,,Gria4,,,Rhob,,,,,,Btbd3,,,Rpl35,,,
,,Gsdmd,,,Rhobtb3,,,,,,Btbd9,,,Rpl35a,,,
,,Gulp1,,,Rhoq,,,,,,Btc,,,Rpl36,,,
,,Gusb,,,Rian,,,,,,Btf3l4,,,Rpl36a,,,
,,H2-Ab1,,,Ripk1,,,,,,Btg1,,,Rpl36al,,,
,,H2-M3,,,Rnasek,,,,,,Btg3,,,Rpl37,,,
,,H2-T23,,,Rnf13,,,,,,Btrc,,,Rpl37a,,,
,,H2afx,,,Rnf145,,,,,,Bub3,,,Rpl38,,,
,,Habp4,,,Rnf150,,,,,,Bud13,,,Rpl39,,,
,,Hand2,,,Rnf187,,,,,,Bysl,,,Rpl4,,,
,,Hdac4,,,Rnft1,,,,,,Bzw1,,,Rpl41,,,
,,Hdac7,,,Rock2,,,,,,C030044B11Rik,,,Rpl5,,,
,,Hdgfrp3,,,Rpain,,,,,,C030048B08Rik,,,Rpl6,,,
,,Heatr5a,,,Rpn2,,,,,,C130022K22Rik,,,Rpl7,,,
,,Hebp1,,,Rras,,,,,,C1galt1,,,Rpl8,,,
,,Herc1,,,Rrbp1,,,,,,C1qbp,,,Rpl9,,,
,,Hexim1,,,Rsu1,,,,,,C330006A16Rik,,,Rplp1,,,
,,Hfe,,,Rtn2,,,,,,C330007P06Rik,,,Rplp2,,,
,,Hipk3,,,Ryk,,,,,,C330018D20Rik,,,Rps10,,,
,,Homer1,,,S100a1,,,,,,C330021F23Rik,,,Rps11,,,
,,Hook3,,,Samd14,,,,,,C330022C24Rik,,,Rps12,,,
,,Hp1bp3,,,Sbno2,,,,,,C630004H02Rik,,,Rps13,,,
,,Hs2st1,,,Sbsn,,,,,,C920006O11Rik,,,Rps14,,,
,,Hsd3b7,,,Scarf2,,,,,,Cab39l,,,Rps15,,,
,,Hsf2,,,Scn1b,,,,,,Cadm1,,,Rps15a,,,
,,Hspa12a,,,Sdc3,,,,,,Cadps2,,,Rps15a-ps4,,,
,,Hspa13,,,Sdf4,,,,,,Calm1,,,Rps15a-ps6,,,
,,Hspa1l,,,Sdpr,,,,,,Canx,,,Rps16,,,
,,Htra2,,,Sec11a,,,,,,Capg,,,Rps17,,,
,,Icosl,,,Sec13,,,,,,Caprin1,,,Rps18,,,
,,Id4,,,Sec22b,,,,,,Capsl,,,Rps19,,,
,,Ids,,,Sec23a,,,,,,Capza2,,,Rps2,,,
,,Idua,,,Sec61b,,,,,,Car13,,,Rps20,,,
,,Ier5l,,,Selm,,,,,,Car2,,,Rps21,,,
,,Ifi30,,,Sema3b,,,,,,Car8,,,Rps23,,,
,,Ifi47,,,Sep15,,,,,,Carkd,,,Rps24,,,
,,Ifih1,,,Sepp1,,,,,,Cars,,,Rps25,,,
,,Ifnar1,,,Sept2,,,,,,Casc3,,,Rps26,,,
,,Ifngr1,,,Sepw1,,,,,,Casp3,,,Rps27,,,
,,Ift172,,,Serf1,,,,,,Casp6,,,Rps27a,,,
,,Ift46,,,Serf2,,,,,,Casp8,,,Rps28,,,
,,Ift57,,,Serpina3g,,,,,,Cbll1,,,Rps29,,,
,,Ift74,,,Serpinb1a,,,,,,Cbr1,,,Rps3,,,
,,Igf2r,,,Serpine1,,,,,,Cbr3,,,Rps3a,,,
,,Igsf8,,,Sertad1,,,,,,Cbr4,,,Rps4x,,,
,,Igtp,,,Sfrp1,,,,,,Cbwd1,,,Rps5,,,
,,Ikzf4,,,Sfrp2,,,,,,Cbx7,,,Rps7,,,
,,Il17d,,,Sfxn3,,,,,,Ccdc107,,,Rps8,,,
,,Il17rd,,,Sh3bgrl,,,,,,Ccdc115,,,Rps9,,,
,,Il6ra,,,Sh3gl1,,,,,,Ccdc12,,,Rpsa,,,
,,Ildr2,,,Sh3kbp1,,,,,,Ccdc122,,,Rxra,,,
,,Inf2,,,Sh3pxd2a,,,,,,Ccdc137,,,S100a16,,,
,,Ing1,,,Shisa5,,,,,,Ccdc3,,,S100a6,,,
,,Inpp5a,,,Sirt2,,,,,,Ccdc47,,,Sc4mol,,,
,,Insig1,,,Skil,,,,,,Ccdc51,,,Sc5d,,,
,,Ints6,,,Slc12a4,,,,,,Ccdc55,,,Sdc4,,,
,,Ipo9,,,Slc16a3,,,,,,Ccdc64b,,,Sdcbp2,,,
,,Iqsec1,,,Slc35a2,,,,,,Ccdc71,,,Sema4b,,,
,,Irak1bp1,,,Slc35b2,,,,,,Ccdc86,,,Sema7a,,,
,,Irf7,,,Slc38a10,,,,,,Ccdc97,,,Serpinb5,,,
,,Irgm2,,,Slc39a1,,,,,,Ccm2,,,Setd8,,,
,,Irs1,,,Slc39a7,,,,,,Ccnd2,,,Sgsm3,,,
,,Isg15,,,Slc50a1,,,,,,Ccnl2,,,Sh3bgrl3,,,
,,Isg20,,,Smad7,,,,,,Ccnt1,,,Siva1,,,
,,Isl1,,,Smarca2,,,,,,Ccnt2,,,Slc12a6,,,
,,Ism1,,,Smc1a,,,,,,Cct2,,,Slc12a7,,,
,,Itga9,,,Smc6,,,,,,Cct3,,,Slc1a4,,,
,,Itgb1bp1,,,Smo,,,,,,Cct4,,,Slc22a23,,,
,,Itpripl2,,,Smpd1,,,,,,Cct5,,,Slc23a2,,,
,,Itsn1,,,Snai1,,,,,,Cct6a,,,Slc25a24,,,
,,Izumo4,,,Snhg1,,,,,,Cct7,,,Slc2a1,,,
,,Jdp2,,,Snhg12,,,,,,Cct8,,,Slc38a2,,,
,,Jmy,,,Snhg5,,,,,,Ccz1,,,Slc6a6,,,
,,Kank1,,,Sntb2,,,,,,Cd14,,,Slc6a9,,,
,,Kank2,,,Snx1,,,,,,Cd151,,,Slc7a1,,,
,,Kctd11,,,Soat1,,,,,,Cd3eap,,,Slc7a11,,,
,,Kctd17,,,Socs1,,,,,,Cd44,,,Slc9a3r1,,,
,,Kdelc1,,,Sorcs2,,,,,,Cd68,,,Slk,,,
,,Khdrbs3,,,Sox4,,,,,,Cd82,,,Smad2,,,
,,Kif26b,,,Sox5,,,,,,Cdc25a,,,Smarca4,,,
,,Kifap3,,,Sphk1,,,,,,Cdc34,,,Smox,,,
,,Klc1,,,Spna2,,,,,,Cdc42bpg,,,Snrpf,,,
,,Klf7,,,Spnb2,,,,,,Cdc42ep3,,,Sord,,,
,,Klhl13,,,Spop,,,,,,Cdc42ep4,,,Sorl1,,,
,,Klhl22,,,Srm,,,,,,Cdca4,,,Sowahc,,,
,,Klhl7,,,Srp14,,,,,,Cdca7l,,,Sox15,,,
,,LOC545261,,,Srpr,,,,,,Cdcp1,,,Sqle,,,
,,Large,,,Sspn,,,,,,Cdh13,,,Src,,,
,,Larp6,,,Ssr1,,,,,,Cdk17,,,Srebf1,,,
,,Lass4,,,Ssr2,,,,,,Cdk18,,,Srebf2,,,
,,Lats2,,,St3gal4,,,,,,Cdk19,,,Srrm1,,,
,,Layn,,,St7,,,,,,Cdk2ap2,,,Srxn1,,,
,,Ldb1,,,Stard3nl,,,,,,Cdk6,,,Ssfa2,,,
,,Lefty1,,,Stat3,,,,,,Cdk9,,,St14,,,
,,Letm2,,,Stra13,,,,,,Cdkn2aipnl,,,Stard10,,,
,,Lgi4,,,Sumf1,,,,,,Cdo1,,,Stmn1,,,
,,Lgr5,,,Swi5,,,,,,Ceacam1,,,Stxbp2,,,
,,Limch1,,,Syne1,,,,,,Cebpa,,,Sys1,,,
,,Lims2,,,Tacc1,,,,,,Cebpg,,,Sytl2,,,
,,Lmf2,,,Tagln2,,,,,,Cebpz,,,Taf10,,,
,,Lmo2,,,Tbc1d16,,,,,,Cecr2,,,Tbc1d1,,,
,,Loxl3,,,Tbrg1,,,,,,Celf1,,,Tbc1d2,,,
,,Lpgat1,,,Tcea3,,,,,,Celsr2,,,Tcerg1,,,
,,Lrch2,,,Tcn2,,,,,,Cenpq,,,Tgif1,,,
,,Lrig2,,,Tcp11l2,,,,,,Cenpv,,,Tinagl1,,,
,,Lrp4,,,Tenc1,,,,,,Cep164,,,Tjp1,,,
,,Lrrc49,,,Tex264,,,,,,Cept1,,,Tjp2,,,
,,Lrrc57,,,Tgfbr1,,,,,,Cerk,,,Tjp3,,,
,,Lrrc61,,,Tiparp,,,,,,Ces2b,,,Tkt,,,
,,Lrrk1,,,Tln1,,,,,,Ces2e,,,Tmc7,,,
,,Lrrn4cl,,,Tm7sf3,,,,,,Chchd3,,,Tmcc3,,,
,,Lsamp,,,Tm9sf1,,,,,,Chchd4,,,Tmem20,,,
,,Lsm7,,,Tmed1,,,,,,Chchd5,,,Tmem40,,,
,,Ltbp1,,,Tmed4,,,,,,Chchd6,,,Tmem63b,,,
,,Ly6e,,,Tmed9,,,,,,Chchd7,,,Tmem93,,,
,,Lynx1,,,Tmem106b,,,,,,Chd1l,,,Tmprss13,,,
,,Lztr1,,,Tmem107,,,,,,Chd7,,,Tmsb4x,,,
,,Lzts2,,,Tmem120a,,,,,,Chfr,,,Tnfaip8,,,
,,Macf1,,,Tmem150a,,,,,,Chmp1a,,,Tnfrsf21,,,
,,Maf,,,Tmem159,,,,,,Chmp2a,,,Tnk2,,,
,,Mageh1,,,Tmem39a,,,,,,Chmp2b,,,Tnks2,,,
,,Magi1,,,Tmem43,,,,,,Chmp4c,,,Tns4,,,
,,Man2a1,,,Tmem5,,,,,,Chmp5,,,Tomm20,,,
,,Man2a2,,,Tmem50a,,,,,,Chordc1,,,Trf,,,
,,Man2b2,,,Tmem66,,,,,,Chtf8,,,Trim13,,,
